,test_function,split,swim_median,swim_std,random_median,random_std,median_winner,stability_winner
0,TF1,train,2.3881136805168462e-09,4.24846506485569e-07,7.221648583927435e-10,0.0001792036916994898,SG-KAN (Random),SG-KAN (SWIM)
1,TF1,test,1.810754876484368e-08,1.4651038313067136e-06,6.179693389198215e-09,0.0002701881553607976,SG-KAN (Random),SG-KAN (SWIM)
2,TF2,train,0.11875063275247025,0.0064397758796782955,0.11943334278519654,0.005946961056920415,SG-KAN (SWIM),SG-KAN (Random)
3,TF2,test,0.04967918844018455,0.016090570895112035,0.0505302161158548,0.014842177743381632,SG-KAN (SWIM),SG-KAN (Random)
4,TF3,train,0.001503473604451,0.0006319678701623175,0.00142087521726695,0.0022602334555389433,SG-KAN (Random),SG-KAN (SWIM)
5,TF3,test,0.00219818099358665,0.0009003177261983038,0.00204970278972445,0.0032858609754629585,SG-KAN (Random),SG-KAN (SWIM)
6,TF4,train,0.22904130859823985,0.0018742405266574916,0.22881028718928687,0.0018512700180844863,SG-KAN (Random),SG-KAN (Random)
7,TF4,test,0.28868984970889905,0.003717899464110058,0.2896861712609685,0.003679384365197293,SG-KAN (SWIM),SG-KAN (Random)
8,TF5,train,0.0006154461406828501,0.0007051425217667454,0.0007113390528425999,0.0018604816628056838,SG-KAN (SWIM),SG-KAN (SWIM)
9,TF5,test,0.00228778627928255,0.0011899940730042277,0.00390807267816345,0.005042071588035492,SG-KAN (SWIM),SG-KAN (SWIM)
