number,value,datetime_start,datetime_complete,duration,params_kernel,params_lr,params_num_inducing,test_rmse,val_rmse,state
0,0.01996849127613126,2026-06-19 13:30:56.842206,2026-06-19 13:37:17.783902,380.941696,periodic_rbf,0.009227979135944643,436,0.031350367892093514,0.01996849127613126,COMPLETE
1,0.032463343818172535,2026-06-19 13:37:17.786301,2026-06-19 13:42:45.027912,327.241611,periodic_linear,0.030964235595718082,448,0.019032552231057563,0.032463343818172535,COMPLETE
2,0.07823506923927888,2026-06-19 13:42:45.029625,2026-06-19 13:45:50.555204,185.525579,periodic_linear,0.0035626545250872946,255,0.06895097410693089,0.07823506923927888,COMPLETE
3,0.17178488643290818,2026-06-19 13:45:50.556702,2026-06-19 13:50:02.489604,251.932902,periodic,0.001182280603112928,346,0.17665320192099704,0.17178488643290818,COMPLETE
4,0.10056560177460347,2026-06-19 13:50:02.491161,2026-06-19 13:53:19.978100,197.486939,periodic_linear,0.002628487520833363,260,0.07954480287610624,0.10056560177460347,COMPLETE
5,0.04616268468152955,2026-06-19 13:53:19.979689,2026-06-19 13:56:31.322184,191.342495,rq,0.0011645932275047351,362,0.043275229974076866,0.04616268468152955,COMPLETE
6,0.02109192689447171,2026-06-19 13:56:31.323843,2026-06-19 14:00:14.335984,223.012141,periodic_rbf,0.009432113833720408,293,0.0238352958362705,0.02109192689447171,COMPLETE
7,0.051029599095207455,2026-06-19 14:00:14.337673,2026-06-19 14:03:41.781494,207.443821,rq,0.0007353436432389176,390,0.07479229543235726,0.051029599095207455,COMPLETE
8,0.050263130265638514,2026-06-19 14:03:41.783013,2026-06-19 14:07:18.534158,216.751145,periodic_rbf,0.0024938095569756982,281,0.03957407316071346,0.050263130265638514,COMPLETE
9,0.12014843244932345,2026-06-19 14:07:18.535758,2026-06-19 14:12:21.325411,302.789653,periodic_linear,0.002415599785207336,369,0.0798667722717648,0.12014843244932345,COMPLETE
10,0.3326202475441019,2026-06-19 14:12:21.326986,2026-06-19 14:15:29.940381,188.613395,rbf,0.0001742275103134875,488,0.30767095260694666,0.3326202475441019,COMPLETE
11,0.019705612687683238,2026-06-19 14:15:29.941928,2026-06-19 14:21:11.767459,341.825531,periodic_rbf,0.02552902042823496,434,0.020550476106683604,0.019705612687683238,COMPLETE
