,number,value,datetime_start,datetime_complete,duration,params_kernel,params_lr,params_num_inducing,test_rmse,val_rmse,state
0,0,0.26197733639920395,2026-06-05 17:16:27.463356,2026-06-05 17:18:47.634524,140.171168,rbf,0.000214011025410903,383,0.2652648591270064,0.26197733639920395,COMPLETE
1,1,0.03738133629106673,2026-06-05 17:18:47.636064,2026-06-05 17:22:24.070913,216.434849,matern,0.001546673462482975,419,0.038694759117399266,0.03738133629106673,COMPLETE
2,2,0.09375435926721062,2026-06-05 17:22:24.072938,2026-06-05 17:23:54.762745,90.689807,rbf,0.0006291609790068552,247,0.12763233444830183,0.09375435926721062,COMPLETE
3,3,0.10400010016857966,2026-06-05 17:23:54.764267,2026-06-05 17:28:14.672790,259.908523,matern,0.00045812655197419,490,0.12343416575488943,0.10400010016857966,COMPLETE
4,4,0.37870239308217396,2026-06-05 17:28:14.674359,2026-06-05 17:32:31.883234,257.208875,matern,0.00011350083064752789,482,0.3761567685128588,0.37870239308217396,COMPLETE
5,5,0.06351446042454761,2026-06-05 17:32:31.884922,2026-06-05 17:34:06.754224,94.869302,matern,0.0008031229508761858,183,0.06678390033088012,0.06351446042454761,COMPLETE
6,6,0.0375028374028191,2026-06-05 17:34:06.755811,2026-06-05 17:35:15.992481,69.23667,rbf,0.001902994300911821,199,0.026926916658294615,0.0375028374028191,COMPLETE
7,7,0.022421834521192587,2026-06-05 17:35:15.994369,2026-06-05 17:38:33.753775,197.759406,matern,0.0029300171645375846,388,0.02880031509419335,0.022421834521192587,COMPLETE
8,8,0.2926146825495163,2026-06-05 17:38:33.755385,2026-06-05 17:39:27.263460,53.508075,matern,0.000175818154130619,122,0.29439034637381883,0.2926146825495163,COMPLETE
9,9,0.1394100938537318,2026-06-05 17:39:27.264998,2026-06-05 17:41:00.338261,93.073263,rbf,0.00048376928763560196,273,0.15337917978500623,0.1394100938537318,COMPLETE
