seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs,fit_time_secs
0,1.5125656371503538e-11,2.0242433153521237e-11,1.2270571249973727,1.7078801183706416e-11,2.5281543829227827e-11,2.4576134589879075,3.9883277079934487
1,1.3447239640904108e-11,1.8126549352409028e-11,1.5469250419992022,1.5694193579440794e-11,2.9946773400159474e-11,2.3880904170073336,3.8103481250000186
2,1.2567302609331476e-11,1.6685643961306645e-11,1.0424067080020905,1.4449409811712055e-11,2.382730450898572e-11,2.1400222499942174,3.536159959010547
3,1.8126126442516434e-11,2.463908037589199e-11,1.183376834000228,2.1239455880867065e-11,3.5991024708314564e-11,2.0211523339967243,3.509506332993624
4,1.0556423568272577e-11,1.4265346554419623e-11,1.412527249995037,1.1990460717370421e-11,1.8946742956657268e-11,1.8496958330069901,3.38559725000232
5,1.1447387915017315e-11,1.5350642392798572e-11,1.0773035000020172,1.3371552758101313e-11,2.1485274231889458e-11,1.9218232499988517,3.421251874999143
6,1.0660818438798513e-11,1.421352531587917e-11,1.1512266250065295,1.2099441648594222e-11,1.8773774936632196e-11,1.9958204579888843,3.460555208992446
7,9.949417411822537e-12,1.3416590609387116e-11,1.0623015830060467,1.1316754865847711e-11,2.4008093206844817e-11,1.9372456669952953,3.6734287920116913
8,1.0211286543757026e-11,1.323266089381929e-11,1.1298161250015255,1.1547390372373955e-11,1.9427724062510264e-11,2.011834665987408,3.3682249169942224
9,1.2950272530384832e-11,1.7818680296298758e-11,1.1038125830091303,1.5109816259295528e-11,2.5339426841706988e-11,1.927440708008362,3.343040292005753
10,1.1883229236384074e-11,1.6022219200762455e-11,1.0721316669951193,1.3729197296391548e-11,2.2397737183605824e-11,1.9486848750093486,3.3567798330041114
11,1.2791813502541215e-11,1.7242429713410582e-11,1.1673834999965038,1.4638774008257638e-11,2.8397378353325247e-11,1.9109601249947445,3.6060862909944262
12,7.961784656215776e-12,1.1019861985739177e-11,1.1166070000035688,8.923156186169123e-12,1.484186109692663e-11,1.8460436669993214,3.3591372500086436
