number,value,datetime_start,datetime_complete,duration,params_width_idx,test_rmse,val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,0.1617295095459939,2026-06-18 17:02:34.141015,2026-06-18 17:03:23.329030,49.188015,2,0.1720347063380647,0.1617295095459939,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,0.5688765721064396,2026-06-18 17:03:23.330585,2026-06-18 17:04:21.754693,58.424108,8,0.2742136948371425,0.5688765721064396,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,0.16866500550309996,2026-06-18 17:04:21.756468,2026-06-18 17:05:16.645666,54.889198,4,0.29836306537104673,0.16866500550309996,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,3.7526019843945533,2026-06-18 17:05:16.647160,2026-06-18 17:06:17.995875,61.348715,9,0.5688787629191958,3.7526019843945533,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,0.17481970671201835,2026-06-18 17:06:17.997528,2026-06-18 17:07:07.827297,49.829769,1,0.17980480848881486,0.17481970671201835,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,0.24546429118834756,2026-06-18 17:07:07.828872,2026-06-18 17:08:05.585631,57.756759,6,0.17805441477308892,0.24546429118834756,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,0.1987784650802235,2026-06-18 17:08:05.587083,2026-06-18 17:09:02.733960,57.146877,7,0.172920836124896,0.1987784650802235,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,0.1989858363128098,2026-06-18 17:09:02.735610,2026-06-18 17:09:55.109836,52.374226,3,0.1903092251654554,0.1989858363128098,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,0.1663975497575577,2026-06-18 17:09:55.111280,2026-06-18 17:10:39.990961,44.879681,0,0.17017614438250386,0.1663975497575577,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,0.5731123888187893,2026-06-18 17:10:39.992415,2026-06-18 17:11:35.437850,55.445435,5,1.3708266047269109,0.5731123888187893,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
