seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs
0,6.064951795891026e-08,7.994163126525591e-08,2.2796858330257237,9.680470197354351e-08,2.3924140898455615e-07,2.8730515419738367
1,2.525273869433825e-10,3.323358435862159e-10,2.0813382919877768,4.408406959380273e-10,2.4238103717288273e-09,2.8644717080169357
2,8.682735885522097e-11,1.1358270530331969e-10,1.4768399170134217,2.79658545227629e-10,6.320379337283626e-09,2.7702535839634947
3,2.01849853219728e-09,2.649143087919577e-09,1.386088999977801,4.077903293994018e-09,1.9997558362781865e-08,2.710769666999113
4,1.6353201419162798e-10,2.191351348861244e-10,1.374658333021216,3.453984542552135e-10,2.7172106477392353e-09,2.7860078329686075
5,2.2755855420387447e-06,3.005758098545512e-06,1.4882882499950938,3.5009569258618034e-06,8.293116439828836e-06,2.722410707967356
6,0.0014021304586981993,0.0018059187921800515,1.4704022079822607,0.002094026635415874,0.0043430175265173785,2.6201001250301488
7,7.665046502606277e-08,1.0248581151375138e-07,1.4564800829975866,1.3619540254958262e-07,7.255372646500936e-07,3.1521768330130726
8,4.23201661486558e-10,5.51688132526466e-10,1.6359425830305554,8.346370235633172e-10,5.138663120346471e-09,3.037522667029407
9,8.107588910753749e-11,1.0826204153341576e-10,1.4577991670230404,1.6559182531364348e-10,1.1668039706618577e-09,2.6992553750169463
10,3.2725842116592546e-09,4.3660322840701834e-09,1.6213035000255331,5.358123546277821e-09,1.2820137683194098e-08,2.7616552080144174
11,3.926855498295051e-10,5.315634003639841e-10,1.4628429159638472,8.241669016487152e-10,5.734787701143857e-09,2.899180459033232
12,2.6752169140917964e-09,3.551460960929942e-09,1.3865422499948181,4.6462349312430265e-09,1.2707980280160545e-08,3.057627541013062
13,4.137397403812526e-11,5.464256062357172e-11,1.4257760000182316,7.863179273676079e-11,5.708703993635451e-10,2.7167761250166222
14,4.495494893251573e-11,6.154192658573245e-11,1.5646154580172151,8.032430319007689e-11,2.6593229611854063e-10,3.0109491670154966
15,8.513325453883211e-09,1.1263666308194836e-08,1.538138666015584,1.5106783775149792e-08,9.792230298291191e-08,2.7624926670105197
16,2.3923397099261805e-09,3.1257850976028727e-09,1.5352118340088055,4.198760587684897e-09,1.3577519096934371e-08,2.807343458000105
17,4.800802232970275e-10,6.461023916432074e-10,1.3414570420281962,1.0147151488164308e-09,1.0787992465294173e-08,2.6821752910036594
18,4.6356372401048365e-09,6.197816677799755e-09,1.447126999963075,7.869321312523047e-09,4.7474917967238764e-08,2.7483992500347085
19,1.7501477129863025e-09,2.298273900372229e-09,1.5019153339671902,3.3128491420848782e-09,1.7496509020195658e-08,2.6791708329692483
20,7.869054835051396e-08,1.033696874570887e-07,1.3341467090067454,1.249236929606927e-07,3.4407999677902767e-07,2.794807334023062
21,2.1549897130723055e-09,2.821585663552405e-09,1.4584270829800516,3.796141759015992e-09,1.3964432257407051e-08,2.986976957996376
22,8.160301428992988e-11,1.0785978643699892e-10,1.4732137079699896,1.6839594547402026e-10,1.0443809613311048e-09,2.716469750041142
23,1.16003470218215e-10,1.511081922888205e-10,1.4069714170182124,2.260126892951464e-10,1.0481814202872096e-09,2.637331957987044
24,7.354322840540106e-11,9.961839770454659e-11,1.38637254195055,1.49171900486883e-10,1.0015046953661174e-09,2.9550973339937627
