seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs
0,1.067406626081603e-08,1.3838945072292561e-08,6.314329790999182,1.8521887139834326e-08,5.5346274515515157e-08,12.618598541012034
1,2.85512315607514e-10,3.7903200274017004e-10,6.531012332998216,5.948649483139557e-10,4.694995656590252e-09,12.736546916945372
2,4.845231088741742e-11,6.475792489565388e-11,6.371530000003986,1.0396889480318583e-10,4.671644606763782e-10,12.668398874986451
3,2.9929875604041246e-05,3.9439991023368206e-05,6.112468333973084,4.336742495039588e-05,7.628943204397242e-05,13.007265541993547
4,8.689315952534193e-12,1.1405962685834642e-11,7.531624291965272,2.3774541754034705e-11,3.142600327572921e-10,13.186652250005864
5,2.9322602022076317e-10,3.921902820951348e-10,6.382139583001845,5.845769435061654e-10,2.794850894617488e-09,12.938237417023629
6,3.515034073774126e-11,4.5810457255204845e-11,6.502280290995259,6.957089623421675e-11,3.035142082621174e-10,13.227174875035416
7,7.981696154360506e-12,1.051105618964067e-11,6.345879333035555,1.625652142345224e-11,9.331138922378902e-11,13.041388332960196
8,2.7640489197212903e-10,3.682340346373267e-10,6.388623042032123,5.96585070924277e-10,5.264333464571295e-09,13.244699375005439
9,2.0532755678672605e-09,2.7432485944999905e-09,6.13828520901734,3.782191150993042e-09,1.6643155423297627e-08,13.066488625016063
10,2.355957810611098e-11,3.1022396697300364e-11,6.377170041960198,5.85817468895522e-11,7.828114285965464e-10,12.791592041961849
11,1.972681204649475e-08,2.6158047992510396e-08,6.225920166994911,3.880351590147338e-08,2.802655502618725e-07,12.85748208296718
12,1.963395256411593e-11,2.6426157733679322e-11,6.387325208983384,4.7531512936682675e-11,4.1730395171988434e-10,12.880921749980189
13,2.2367697568130562e-10,2.9459008703116224e-10,6.362165124970488,4.771916642304364e-10,4.4445186927957365e-09,13.626123374968302
14,2.376263434573183e-07,3.1729489418356773e-07,6.793357708025724,3.85396261014867e-07,9.639977317301756e-07,14.999582333024591
15,5.6639060750537234e-09,7.423301470162995e-09,6.342462416971102,9.747392756895985e-09,4.272517882359923e-08,13.212525375012774
16,6.051220601439866e-11,8.021540014052239e-11,6.703033540979959,1.0777886827254002e-10,3.6747037392781587e-10,13.255776375008281
17,1.398931458038849e-10,1.835531355561339e-10,6.282600249978714,2.992750298122515e-10,2.564617135820781e-09,13.005104000039864
18,3.097572219452893e-11,4.104745948664396e-11,6.647146708040964,6.190546787479545e-11,2.6184324999573113e-10,12.994927249965258
19,3.560049263304915e-10,4.698136461332352e-10,6.256643624976277,6.399845755587774e-10,2.3118117558240813e-09,13.538310833042488
20,1.7179575491424113e-08,2.255561133598022e-08,6.399293333990499,2.9409801099936768e-08,1.835356139735671e-07,12.659681707969867
21,5.002400705427651e-10,6.551349086155663e-10,6.401527540991083,9.912249855789646e-10,4.63089503782706e-09,12.880498750018887
22,8.581925489518916e-11,1.1364351733236996e-10,6.5151435830048285,1.8585797924366988e-10,1.3103030726231888e-09,12.866370292031206
23,4.111016446778949e-08,5.4802056069611875e-08,6.488974500040058,6.795982416054544e-08,3.992644137083133e-07,12.760332916979678
24,1.3797549483149374e-11,1.8380184211185196e-11,6.385661540960427,3.5298220624202514e-11,3.469823925846522e-10,13.152385584020521
25,9.91378159607946e-09,1.3243900019378336e-08,6.597269416961353,1.686118649650084e-08,5.428970126583561e-08,12.7574395420379
26,1.539467000234896e-05,2.0161079274527727e-05,6.390452666033525,2.283750642713808e-05,6.876063195333306e-05,12.816934167
27,5.9570958099251085e-09,7.844460478968124e-09,6.247628958022688,9.90084989096543e-09,2.6674089562179737e-08,12.854497375024948
28,2.2781045390950563e-08,3.0253973535891324e-08,6.680942250008229,4.3463893154566804e-08,1.5316546606913544e-07,13.046362166001927
29,5.609523760516065e-08,7.25061396021549e-08,6.345963542000391,9.481003202843549e-08,2.4114918556172045e-07,13.135323499969672
30,4.5758881422868286e-08,6.081180506777134e-08,6.364376624987926,8.161500135343142e-08,4.087226896687158e-07,12.677357250009663
31,4.006118087626978e-09,5.436985649178812e-09,6.570877249992918,8.707391662626101e-09,7.3977978114635e-08,12.660834959009662
32,3.7905030760368094e-08,4.991843843653872e-08,6.331322709040251,7.242492208436869e-08,5.571521079821997e-07,13.044485333026387
33,2.8113458356706507e-09,3.637202983566894e-09,6.349956208956428,5.487625476031238e-09,4.174844729970414e-08,13.075900790980086
34,7.867358754395925e-12,1.0274332346719499e-11,6.3428343330160715,1.6210074940681275e-11,8.012580218195293e-11,12.99462695803959
35,2.3611872606438265e-12,3.1136968660592925e-12,6.260780124983285,5.892653193867448e-12,5.433992620367496e-11,13.530560166982468
36,2.082308397637761e-10,2.74773034354854e-10,6.363992875034455,4.608187600840807e-10,5.038555131027956e-09,13.112727542000357
37,3.533046829617189e-07,4.6338083265649316e-07,6.260233959008474,5.869704197654847e-07,3.0956116606437793e-06,13.073394542036112
38,4.531252859076018e-11,5.903155244404428e-11,6.268303958000615,1.0622522111855549e-10,5.373762372765485e-10,12.875234959006775
39,2.0193680702294824e-10,2.7123146629686717e-10,6.207554749969859,4.057605657893648e-10,3.694557271143131e-09,12.758880874956958
40,1.7630412636723476e-08,2.404620705826383e-08,6.452068083977792,3.131449711600981e-08,1.659125468157439e-07,12.751500375044998
41,3.406777399065884e-08,4.43886008146927e-08,6.213384500006214,6.095901181074615e-08,3.2682513868686634e-07,12.956725874973927
42,2.945193549840075e-11,3.889708058298819e-11,6.355758291028906,5.35647203828149e-11,1.9899400686276003e-10,13.182730500004254
43,1.3688629114348706e-10,1.7828804746861098e-10,6.01832795800874,2.984951540836722e-10,3.280332408856617e-09,12.597139916964807
44,8.405044227709238e-06,1.1065912265692448e-05,6.41707108396804,1.3318432772487838e-05,2.9854498036375486e-05,13.56841154198628
45,3.254157287212178e-11,4.295179507944375e-11,6.886500499967951,6.612007451348156e-11,4.288539028877906e-10,13.543824708962347
46,2.6641403034132274e-08,3.4978327724830775e-08,6.928424916986842,4.8072376539154413e-08,2.444078219041628e-07,13.520637666981202
47,4.803129491888144e-09,6.37953189654566e-09,6.480544542020652,8.575467107256596e-09,4.570062792108645e-08,13.000203125004191
48,8.173026191694854e-11,1.0761044501960278e-10,7.81600641697878,1.5471203050274052e-10,6.373938881960362e-10,15.236445207963698
49,2.50882328736466e-08,3.3050551409847475e-08,7.789691708981991,4.137935520611771e-08,1.3236731809184857e-07,15.39839554100763
