number,value,datetime_start,datetime_complete,duration,params_alpha_edge,params_alpha_neuron,params_kernel_type,params_layer_width,params_num_inducing,user_attrs_alpha_edge,user_attrs_alpha_neuron,fit_duration_sec,kernel_type,user_attrs_layer_width,user_attrs_num_inducing,sigma_scale,val_rmse,system_attrs_grid_id,system_attrs_search_space,state,test_rmse
0,6.778324246403005e-05,2026-08-06 13:59:56.440643,2026-08-06 14:00:18.477373,22.03673,0.001,0,matern,1000,50,0.001,0,20.026498500010348,matern,1000,50,1,6.778324246403005e-05,0,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
1,0.056343439768062595,2026-08-06 14:00:18.483011,2026-08-06 14:00:30.577439,12.094428,1.0,0,periodic,1000,25,1.0,0,10.954991999999038,periodic,1000,25,1,0.056343439768062595,1,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
2,1.4776349044527034e-06,2026-08-06 14:00:30.582859,2026-08-06 14:00:38.810583,8.227724,10.0,0,rbf,500,50,10.0,0,7.638441500006593,rbf,500,50,1,1.4776349044527034e-06,2,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
3,0.057320197308698,2026-08-06 14:00:38.815315,2026-08-06 14:00:41.970708,3.155393,0.1,0,periodic,500,10,0.1,0,2.8357534579990897,periodic,500,10,1,0.057320197308698,3,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
4,0.12480317916918804,2026-08-06 14:00:41.973919,2026-08-06 14:00:46.459837,4.485918,0.1,0,periodic,100,100,0.1,0,4.121123249991797,periodic,100,100,1,0.12480317916918804,4,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
5,0.022816857634925882,2026-08-06 14:00:46.465349,2026-08-06 14:00:48.886264,2.420915,0.001,0,matern,100,50,0.001,0,2.166751957993256,matern,100,50,1,0.022816857634925882,5,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
6,2.1652957074708763e-09,2026-08-06 14:00:48.891094,2026-08-06 14:01:24.617614,35.72652,1.0,0,rbf,1000,100,1.0,0,33.39113608299522,rbf,1000,100,1,2.1652957074708763e-09,6,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
7,0.05079522232685314,2026-08-06 14:01:24.621547,2026-08-06 14:01:31.179439,6.557892,0.001,0,periodic,1000,10,0.001,0,6.0368030829995405,periodic,1000,10,1,0.05079522232685314,7,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
8,0.03112437072829461,2026-08-06 14:01:31.183918,2026-08-06 14:01:32.103581,0.919663,0.001,0,rbf,100,25,0.001,0,0.8038122500001919,rbf,100,25,1,0.03112437072829461,8,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
9,0.10135599156386128,2026-08-06 14:01:32.106919,2026-08-06 14:01:34.494731,2.387812,0.0,0,periodic,100,50,0.0,0,2.1657133330008946,periodic,100,50,1,0.10135599156386128,9,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
