number,value,datetime_start,datetime_complete,duration,params_alpha_edge,params_alpha_neuron,params_layer_width,params_num_inducing,user_attrs_alpha_edge,user_attrs_alpha_neuron,fit_duration_sec,kernel_type,user_attrs_layer_width,user_attrs_num_inducing,sigma_scale,val_rmse,system_attrs_grid_id,system_attrs_search_space,state,test_rmse
0,0.021477395685994854,2026-07-26 16:18:15.112193,2026-07-26 16:18:16.845291,1.733098,0.1,10.0,250,25,0.1,10.0,1.6080444999970496,rbf,250,25,1,0.021477395685994854,0,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
1,0.00020939777893441437,2026-07-26 16:18:16.848430,2026-07-26 16:18:35.355746,18.507316,0.1,0.001,1000,100,0.1,0.001,16.222318874963094,rbf,1000,100,1,0.00020939777893441437,1,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
2,0.0134195279803771,2026-07-26 16:18:35.359436,2026-07-26 16:18:35.780893,0.421457,1.0,0.1,100,10,1.0,0.1,0.3870819589938037,rbf,100,10,1,0.0134195279803771,2,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
3,0.0016006490871070642,2026-07-26 16:18:35.786377,2026-07-26 16:18:42.951283,7.164906,0.1,0.1,500,75,0.1,0.1,6.344564208004158,rbf,500,75,1,0.0016006490871070642,3,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
4,0.013312865114665978,2026-07-26 16:18:42.955300,2026-07-26 16:18:44.776094,1.820794,1.0,0.1,100,100,1.0,0.1,1.5920377919683233,rbf,100,100,1,0.013312865114665978,4,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
5,0.09645684841035274,2026-07-26 16:18:44.780728,2026-07-26 16:18:46.389407,1.608679,0.0,0.1,100,50,0.0,0.1,1.4757815420161933,rbf,100,50,1,0.09645684841035274,5,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
6,0.012179338326039053,2026-07-26 16:18:46.393197,2026-07-26 16:18:48.390767,1.99757,0.001,10.0,500,10,0.001,10.0,1.8262022920534946,rbf,500,10,1,0.012179338326039053,6,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
7,0.013004818460334033,2026-07-26 16:18:48.395302,2026-07-26 16:18:49.366978,0.971676,1.0,1.0,250,10,1.0,1.0,0.8927314999746159,rbf,250,10,1,0.013004818460334033,7,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
8,0.00037179051114733403,2026-07-26 16:18:49.371916,2026-07-26 16:18:59.552238,10.180322,10.0,0.001,1000,50,10.0,0.001,8.938273417006712,rbf,1000,50,1,0.00037179051114733403,8,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
9,0.0034074730366766854,2026-07-26 16:18:59.579830,2026-07-26 16:19:06.764317,7.184487,0.001,1.0,500,75,0.001,1.0,6.226813791960012,rbf,500,75,1,0.0034074730366766854,9,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
10,0.00036502912175556207,2026-07-26 16:19:06.769903,2026-07-26 16:19:22.215312,15.445409,10.0,0.001,1000,75,10.0,0.001,13.323631917010061,rbf,1000,75,1,0.00036502912175556207,10,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
11,0.004842235977937914,2026-07-26 16:19:22.221715,2026-07-26 16:19:40.607326,18.385611,1.0,1.0,1000,100,1.0,1.0,16.192114375007804,rbf,1000,100,1,0.004842235977937914,11,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
12,0.01041160274199347,2026-07-26 16:19:40.611853,2026-07-26 16:19:41.790519,1.178666,0.001,0.0,100,50,0.001,0.0,1.069419667008333,rbf,100,50,1,0.01041160274199347,12,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
13,0.016544961896837164,2026-07-26 16:19:41.793717,2026-07-26 16:19:43.996771,2.203054,0.0,1.0,500,10,0.0,1.0,2.0454639999661595,rbf,500,10,1,0.016544961896837164,13,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0, 0.001, 0.1, 1, 10], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
