number,value,datetime_start,datetime_complete,duration,params_kernel,params_lr,params_num_inducing,test_rmse,val_rmse,system_attrs_fixed_params,state
0,0.17310641132627744,2026-06-20 16:14:56.298252,2026-06-20 16:19:59.562364,303.264112,periodic,0.025713655493252583,382,0.12980337641917922,0.17310641132627744,{'kernel': 'periodic'},COMPLETE
1,0.33225812268814886,2026-06-20 16:19:59.564267,2026-06-20 16:28:23.242060,503.677793,periodic_rbf,0.00010925589600314642,485,0.31819978830479256,0.33225812268814886,{'kernel': 'periodic_rbf'},COMPLETE
2,0.1722012662918737,2026-06-20 16:28:23.244408,2026-06-20 16:35:13.069524,409.825116,periodic,0.010142859060400147,469,0.12974968796048789,0.1722012662918737,,COMPLETE
3,0.17154463363985548,2026-06-20 16:35:13.071748,2026-06-20 16:40:41.975651,328.903903,periodic,0.0034356560693311732,383,0.1295606445109095,0.17154463363985548,,COMPLETE
4,0.17131916103273714,2026-06-20 16:40:41.978109,2026-06-20 16:47:26.449566,404.471457,periodic_rbf,0.0034272891021517003,432,0.13050625427198523,0.17131916103273714,,COMPLETE
5,0.1734202989876844,2026-06-20 16:47:26.452039,2026-06-20 16:53:33.444168,366.992129,periodic_rbf,0.04326257694507791,420,0.1298042571276341,0.1734202989876844,,COMPLETE
6,0.17342336053774682,2026-06-20 16:53:33.445878,2026-06-20 16:57:59.768753,266.322875,periodic,0.04190813274695708,330,0.12980413219350795,0.17342336053774682,,COMPLETE
7,0.17142386730511827,2026-06-20 16:57:59.770918,2026-06-20 17:02:26.468790,266.697872,periodic,0.006274061702612911,335,0.12906090744181004,0.17142386730511827,,COMPLETE
8,0.17294334668833355,2026-06-20 17:02:26.470854,2026-06-20 17:09:03.746140,397.275286,periodic,0.019465198565907962,465,0.1297968581960047,0.17294334668833355,,COMPLETE
9,0.17202036168267593,2026-06-20 17:09:03.748249,2026-06-20 17:15:55.644596,411.896347,periodic_rbf,0.00371227764757238,448,0.13001507275257662,0.17202036168267593,,COMPLETE
