,number,value,datetime_start,datetime_complete,duration,params_kernel,params_lr,params_num_inducing,test_rmse,val_rmse,state
0,0,0.17341273160176054,2026-06-06 14:34:57.038574,2026-06-06 14:36:03.783801,66.745227,rbf,0.0303852148784598,188,0.1298033152764978,0.17341273160176054,COMPLETE
1,1,0.22264307200482367,2026-06-06 14:36:03.786187,2026-06-06 14:39:33.174631,209.388444,rbf,0.00033868551301837754,488,0.18783419531398704,0.22264307200482367,COMPLETE
2,2,0.26164222100922957,2026-06-06 14:39:33.176405,2026-06-06 14:43:14.259951,221.083546,rbf,0.00022943704265067786,485,0.23547081865928718,0.26164222100922957,COMPLETE
3,3,0.1734041708019824,2026-06-06 14:43:14.261672,2026-06-06 14:44:54.632552,100.37088,matern,0.004080249176369428,215,0.13003622242215707,0.1734041708019824,COMPLETE
4,4,0.22891262505356247,2026-06-06 14:44:54.634270,2026-06-06 14:47:51.393970,176.7597,rbf,0.0002891468309281107,421,0.2112187151456708,0.22891262505356247,COMPLETE
5,5,0.2941782793305755,2026-06-06 14:47:51.396169,2026-06-06 14:49:13.033466,81.637297,rbf,0.00020542446962231638,226,0.2565927425127754,0.2941782793305755,COMPLETE
6,6,0.17498165730130535,2026-06-06 14:49:13.035226,2026-06-06 14:50:10.234770,57.199544,rbf,0.0021042235597905426,151,0.1331215133876984,0.17498165730130535,COMPLETE
7,7,0.17330868295446258,2026-06-06 14:50:10.236350,2026-06-06 14:53:04.019576,173.783226,matern,0.0219811132871963,333,0.12977515910630164,0.17330868295446258,COMPLETE
8,8,0.3940394058577089,2026-06-06 14:53:04.021362,2026-06-06 14:54:58.954030,114.932668,rbf,0.00010571542153018744,336,0.37803571611297027,0.3940394058577089,COMPLETE
9,9,0.17350898407978851,2026-06-06 14:54:58.955642,2026-06-06 14:57:15.613998,136.658356,matern,0.0773246088276254,273,0.12980435173383034,0.17350898407978851,COMPLETE
