,number,value,datetime_start,datetime_complete,duration,params_width_idx,test_rmse,val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,0,0.22015390411577557,2026-06-06 14:19:44.257425,2026-06-06 14:20:45.831491,61.574066,2,0.13463837804987208,0.22015390411577557,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,1,0.25515693897033986,2026-06-06 14:20:45.833326,2026-06-06 14:21:48.551971,62.718645,8,10.841902258685177,0.25515693897033986,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,2,0.214037778540097,2026-06-06 14:21:48.553615,2026-06-06 14:22:50.901223,62.347608,4,0.23983860443607277,0.214037778540097,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,3,2.0142791674406757,2026-06-06 14:22:50.902881,2026-06-06 14:24:05.734033,74.831152,9,0.4316027270901756,2.0142791674406757,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,4,0.24289001790311668,2026-06-06 14:24:05.735925,2026-06-06 14:25:04.297333,58.561408,1,0.1320693435946658,0.24289001790311668,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,5,0.198356130755419,2026-06-06 14:25:04.298856,2026-06-06 14:26:10.525607,66.226751,6,0.13048565086833241,0.198356130755419,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,6,0.31380463413349585,2026-06-06 14:26:10.527195,2026-06-06 14:27:14.808561,64.281366,7,0.48835682373261696,0.31380463413349585,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,7,0.19793845971597562,2026-06-06 14:27:14.810196,2026-06-06 14:28:14.295359,59.485163,3,0.18167959317608523,0.19793845971597562,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,8,0.17344730999772104,2026-06-06 14:28:14.296919,2026-06-06 14:29:06.032328,51.735409,0,0.12982588013449925,0.17344730999772104,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,9,4.529024342898096,2026-06-06 14:29:06.033946,2026-06-06 14:30:14.305632,68.271686,5,0.47308069682720344,4.529024342898096,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
