number,value,datetime_start,datetime_complete,duration,params_G,params_M,params_T,params_width,test_rmse,val_rmse,state
0,0.16908947385127687,2026-06-24 14:23:04.806562,2026-06-24 14:28:54.508796,349.702234,62,534,5,109,0.1272647609748849,0.16908947385127687,COMPLETE
1,0.1616455638294098,2026-06-24 14:28:54.510388,2026-06-24 14:34:52.022240,357.511852,87,865,47,105,0.12195391563338567,0.1616455638294098,COMPLETE
2,0.15803617962395103,2026-06-24 14:34:52.023776,2026-06-24 14:40:43.085277,351.061501,58,631,9,151,0.11311751693601416,0.15803617962395103,COMPLETE
3,0.17061821635794,2026-06-24 14:40:43.086705,2026-06-24 14:46:48.344608,365.257903,87,674,33,41,0.12458266827815813,0.17061821635794,COMPLETE
4,0.16470601866164314,2026-06-24 14:46:48.346634,2026-06-24 14:53:07.514213,379.167579,35,975,14,104,0.1115653631946512,0.16470601866164314,COMPLETE
5,0.16352727310644063,2026-06-24 14:53:07.516380,2026-06-24 14:59:17.326038,369.809658,71,639,42,43,0.12961695408245824,0.16352727310644063,COMPLETE
6,0.16485909736432172,2026-06-24 14:59:17.327517,2026-06-24 15:05:14.530364,357.202847,86,643,17,77,0.11495343258571046,0.16485909736432172,COMPLETE
7,0.16750185530817868,2026-06-24 15:05:14.532008,2026-06-24 15:11:12.264898,357.73289,89,546,28,53,0.11465651484451396,0.16750185530817868,COMPLETE
8,0.1700789526339607,2026-06-24 15:11:12.266487,2026-06-24 15:17:08.682317,356.41583,43,564,13,58,0.12800519806362462,0.1700789526339607,COMPLETE
9,0.1669707001400143,2026-06-24 15:17:08.683757,2026-06-24 15:22:56.602640,347.918883,46,978,40,34,0.12030059582618868,0.1669707001400143,COMPLETE
