seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs
0,3.7368672545793966e-06,9.248783688025209e-06,3.3475549169997976,3.849765699280851e-06,6.081823890077461e-06,7.013773167000181
1,3.7847849071965347e-06,9.351920729970593e-06,3.4643855419999454,3.973889453582652e-06,6.839740601338251e-06,7.113739874999737
2,3.729104061681696e-06,9.285613215101535e-06,3.5490670840008534,3.574010488324067e-06,5.957172899973336e-06,6.916374582999197
3,3.7393199046615193e-06,9.254478333675025e-06,3.41881737499898,3.5821755115516094e-06,5.901669510186439e-06,7.520967874999769
4,3.7691515226513547e-06,9.38525294188672e-06,3.749338749999879,3.8946038143099535e-06,6.342732443933846e-06,8.543745709001087
5,3.7596233770892654e-06,9.345627291329226e-06,3.9160912500010454,3.807340205760351e-06,6.209521266928872e-06,7.2559024170004705
6,3.79205834763092e-06,9.395996726996773e-06,3.5246081659988704,3.912333906378271e-06,6.632928457135767e-06,7.516852082999321
7,3.7240766839787714e-06,9.268339780310718e-06,4.789636958999836,3.6226638322095315e-06,5.954314885931162e-06,8.273662208001042
8,3.7117816106601984e-06,9.26615203641714e-06,3.503390459000002,3.8887865563996275e-06,6.395138175923816e-06,7.10642179199931
9,3.723308862183732e-06,9.328672409235284e-06,3.6057361669991224,3.5825153831681445e-06,5.967924142556261e-06,6.912998041998435
10,3.7461566845352895e-06,9.27521205178393e-06,3.8899401250000665,3.811561684580536e-06,6.160137498473671e-06,7.812241707999419
11,3.7417309281224323e-06,9.294646640763789e-06,3.9993769579996297,3.7990675761523125e-06,6.262247533188615e-06,7.623038959000041
12,3.7767855757028894e-06,9.286332711589362e-06,3.9491170830006013,3.680183623599964e-06,5.950251278584136e-06,7.813617208001233
13,3.754403188614696e-06,9.348092881452139e-06,3.844154708000133,3.7258852991326834e-06,6.086597552424249e-06,7.240913291998368
14,3.8018508843725354e-06,9.420475603143189e-06,4.069563332999678,3.993465937970139e-06,6.817120989586064e-06,9.115582500000528
15,3.7545969425067986e-06,9.363780446119599e-06,3.9958947920003993,3.990388692391562e-06,6.791062944195213e-06,7.965995958000349
16,3.7894777797223606e-06,9.372499119049426e-06,3.679933291999987,4.001604309743233e-06,6.562644817322566e-06,7.699039541001184
17,3.7566382258758865e-06,9.331163968194653e-06,3.9888428329995804,3.7591705495087544e-06,6.174403120420947e-06,7.716264708000381
18,3.674951325630769e-06,9.247784116840696e-06,3.8748986250011512,3.5767255724423282e-06,5.89975858831798e-06,7.747595082999396
