,number,value,datetime_start,datetime_complete,duration,params_width_idx,test_rmse,val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,0,0.39903747102319886,2026-06-13 14:18:59.897997,2026-06-13 14:19:59.108991,59.210994,2,0.1604713883460275,0.39903747102319886,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,1,0.17299159153442023,2026-06-13 14:19:59.110463,2026-06-13 14:21:00.906429,61.795966,8,0.16451266279796137,0.17299159153442023,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,2,0.2862032017971379,2026-06-13 14:21:00.907829,2026-06-13 14:21:56.362376,55.454547,4,0.16347561105881003,0.2862032017971379,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,3,0.9992056065822291,2026-06-13 14:21:56.363869,2026-06-13 14:22:58.954097,62.590228,9,0.1636678205824922,0.9992056065822291,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,4,0.16465993981436247,2026-06-13 14:22:58.955535,2026-06-13 14:23:48.569249,49.613714,1,0.4877470692184252,0.16465993981436247,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,5,0.16356264911078108,2026-06-13 14:23:48.570564,2026-06-13 14:24:45.748929,57.178365,6,0.16394924793199667,0.16356264911078108,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,6,1.3706787601089248,2026-06-13 14:24:45.750218,2026-06-13 14:25:43.453366,57.703148,7,0.3619692832269697,1.3706787601089248,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,7,0.17005657922792086,2026-06-13 14:25:43.455040,2026-06-13 14:26:52.090105,68.635065,3,0.18204605983385166,0.17005657922792086,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,8,0.16238368053820362,2026-06-13 14:26:52.091604,2026-06-13 14:27:42.439852,50.348248,0,0.16472246162525833,0.16238368053820362,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,9,0.22286285543323792,2026-06-13 14:27:42.441347,2026-06-13 14:28:45.641345,63.199998,5,0.19660915162774587,0.22286285543323792,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
