,number,value,datetime_start,datetime_complete,duration,params_G,params_M,params_T,params_width,test_rmse,val_rmse,state
0,0,0.09450025478820076,2026-06-13 15:08:44.605297,2026-06-13 15:11:46.030429,181.425132,54,544,31,131,0.08115177321012687,0.09450025478820076,COMPLETE
1,1,0.09262984487747643,2026-06-13 15:11:46.032064,2026-06-13 15:14:59.932816,193.900752,64,529,43,145,0.08547932308547126,0.09262984487747643,COMPLETE
2,2,0.12723518600019412,2026-06-13 15:14:59.934862,2026-06-13 15:18:17.161366,197.226504,99,764,39,51,0.12064194640980135,0.12723518600019412,COMPLETE
3,3,0.08820154398103146,2026-06-13 15:18:17.163244,2026-06-13 15:21:15.618338,178.455094,65,733,43,139,0.10623955846372068,0.08820154398103146,COMPLETE
4,4,0.09303751704074117,2026-06-13 15:21:15.619850,2026-06-13 15:24:25.846016,190.226166,67,822,25,125,0.10246304761405699,0.09303751704074117,COMPLETE
5,5,0.1290305807406603,2026-06-13 15:24:25.847623,2026-06-13 15:27:33.549228,187.701605,60,917,40,60,0.13229394410051973,0.1290305807406603,COMPLETE
6,6,0.0804598438428874,2026-06-13 15:27:33.551694,2026-06-13 15:30:51.262169,197.710475,47,918,43,190,0.06166809590857823,0.0804598438428874,COMPLETE
7,7,0.11542050687793567,2026-06-13 15:30:51.263919,2026-06-13 15:34:03.324219,192.0603,80,513,47,81,0.12924901081235068,0.11542050687793567,COMPLETE
8,8,0.10996048189023988,2026-06-13 15:34:03.326047,2026-06-13 15:37:13.970865,190.644818,34,724,36,84,0.12270633046762491,0.10996048189023988,COMPLETE
9,9,0.0984763146226068,2026-06-13 15:37:13.972610,2026-06-13 15:40:24.146256,190.173646,25,599,42,114,0.0942097740218249,0.0984763146226068,COMPLETE
