,number,value,datetime_start,datetime_complete,duration,params_G,params_M,params_T,params_width,test_rmse,val_rmse,state
0,0,0.2649852747903897,2026-06-13 17:54:45.559658,2026-06-13 17:56:53.154248,127.59459,34,758,36,95,0.261344551817836,0.2649852747903897,COMPLETE
1,1,0.2682246992264075,2026-06-13 17:56:53.156145,2026-06-13 17:59:05.050634,131.894489,81,818,37,149,0.2636573616662317,0.2682246992264075,COMPLETE
2,2,0.26776913486916193,2026-06-13 17:59:05.052221,2026-06-13 18:01:09.619795,124.567574,63,876,30,184,0.2638539046514224,0.26776913486916193,COMPLETE
3,3,0.26552216022339165,2026-06-13 18:01:09.621432,2026-06-13 18:03:16.298434,126.677002,68,799,19,118,0.26131380174402846,0.26552216022339165,COMPLETE
4,4,0.2630883850498929,2026-06-13 18:03:16.300102,2026-06-13 18:05:16.799608,120.499506,81,856,38,37,0.2599291855208113,0.2630883850498929,COMPLETE
5,5,0.2650129385551541,2026-06-13 18:05:16.801146,2026-06-13 18:07:27.498256,130.69711,95,732,13,115,0.2600972452501691,0.2650129385551541,COMPLETE
6,6,0.26335149714812733,2026-06-13 18:07:27.500183,2026-06-13 18:09:34.535310,127.035127,62,530,50,40,0.26172005618519695,0.26335149714812733,COMPLETE
7,7,0.26751073445569395,2026-06-13 18:09:34.537080,2026-06-13 18:11:46.580977,132.043897,88,734,10,147,0.261741584263851,0.26751073445569395,COMPLETE
8,8,0.2704005818564143,2026-06-13 18:11:46.583111,2026-06-13 18:13:53.759722,127.176611,87,955,46,199,0.2630538336088772,0.2704005818564143,COMPLETE
9,9,0.26811357781139533,2026-06-13 18:13:53.761403,2026-06-13 18:16:03.674406,129.913003,34,964,35,165,0.26078698292898966,0.26811357781139533,COMPLETE
