number,value,datetime_start,datetime_complete,duration,params_width_idx,user_attrs_architecture,user_attrs_grids,user_attrs_lamb,user_attrs_opt,user_attrs_steps_per_grid,user_attrs_val_rmse,system_attrs_grid_id,system_attrs_search_space,state
0,0.0003187008825545578,2026-08-05 17:41:19.468541,2026-08-05 17:42:19.438017,59.969476,8,"[2, 5, 3, 1]","(5, 10, 20)",0,LBFGS,20,0.0003187008825545578,0,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
1,0.0020459186526247913,2026-08-05 17:42:19.439589,2026-08-05 17:42:43.375701,23.936112,1,"[2, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.0020459186526247913,1,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
2,0.000983317777530571,2026-08-05 17:42:43.377461,2026-08-05 17:43:26.929611,43.55215,5,"[2, 3, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.000983317777530571,2,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
3,0.01533094953708686,2026-08-05 17:43:26.931155,2026-08-05 17:43:36.619879,9.688724,0,"[2, 1]","(5, 10, 20)",0,LBFGS,20,0.01533094953708686,3,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
4,0.0017934470245121945,2026-08-05 17:43:36.620979,2026-08-05 17:44:24.746879,48.1259,7,"[2, 3, 3, 1]","(5, 10, 20)",0,LBFGS,20,0.0017934470245121945,4,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
5,0.0011523986247868124,2026-08-05 17:44:24.748441,2026-08-05 17:44:53.371278,28.622837,2,"[2, 3, 1]","(5, 10, 20)",0,LBFGS,20,0.0011523986247868124,5,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
6,0.00033032386918851873,2026-08-05 17:44:53.373305,2026-08-05 17:45:57.018050,63.644745,9,"[2, 5, 5, 1]","(5, 10, 20)",0,LBFGS,20,0.00033032386918851873,6,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
7,0.02736997870726599,2026-08-05 17:45:57.019494,2026-08-05 17:46:34.540093,37.520599,4,"[2, 2, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.02736997870726599,7,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
8,0.0002677146758963092,2026-08-05 17:46:34.541788,2026-08-05 17:47:12.621979,38.080191,3,"[2, 5, 1]","(5, 10, 20)",0,LBFGS,20,0.0002677146758963092,8,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
9,0.0006609937473920831,2026-08-05 17:47:12.623722,2026-08-05 17:48:03.061867,50.438145,6,"[2, 5, 2, 1]","(5, 10, 20)",0,LBFGS,20,0.0006609937473920831,9,"{'width_idx': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",COMPLETE
