number,value,datetime_start,datetime_complete,duration,params_alpha_edge,params_alpha_neuron,params_kernel_type,params_layer_width,params_num_inducing,user_attrs_alpha_edge,user_attrs_alpha_neuron,fit_duration_sec,kernel_type,user_attrs_layer_width,user_attrs_num_inducing,sigma_scale,val_rmse,system_attrs_grid_id,system_attrs_search_space,state,test_rmse
0,0.0013083529008341256,2026-07-30 21:52:15.714188,2026-07-30 21:52:42.138916,26.424728,0.001,0,matern,1000,50,0.001,0,24.120977999991737,matern,1000,50,1,0.0013083529008341256,0,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
1,0.008759980124423443,2026-07-30 21:52:42.144732,2026-07-30 21:53:01.929055,19.784323,1.0,0,periodic,1000,25,1.0,0,18.104205875017215,periodic,1000,25,1,0.008759980124423443,1,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
2,0.0066447025395079,2026-07-30 21:53:01.932849,2026-07-30 21:53:15.414858,13.482009,10.0,0,rbf,500,50,10.0,0,12.777019708009902,rbf,500,50,1,0.0066447025395079,2,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
3,0.014512024992080645,2026-07-30 21:53:15.420765,2026-07-30 21:53:18.832219,3.411454,0.1,0,periodic,500,10,0.1,0,3.110499541973695,periodic,500,10,1,0.014512024992080645,3,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
4,0.03189899909606517,2026-07-30 21:53:18.836532,2026-07-30 21:53:24.324418,5.487886,0.1,0,periodic,100,100,0.1,0,5.0271139580290765,periodic,100,100,1,0.03189899909606517,4,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
5,0.03219158881351908,2026-07-30 21:53:24.331324,2026-07-30 21:53:27.195737,2.864413,0.001,0,matern,100,50,0.001,0,2.6329416669905186,matern,100,50,1,0.03219158881351908,5,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
6,0.0020662030789735056,2026-07-30 21:53:27.199156,2026-07-30 21:54:08.367945,41.168789,1.0,0,rbf,1000,100,1.0,0,37.993334500002675,rbf,1000,100,1,0.0020662030789735056,6,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
7,0.006575091332937163,2026-07-30 21:54:08.370652,2026-07-30 21:54:16.278928,7.908276,0.001,0,periodic,1000,10,0.001,0,6.978157166973688,periodic,1000,10,1,0.006575091332937163,7,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
8,0.025777847498742606,2026-07-30 21:54:16.282862,2026-07-30 21:54:18.034481,1.751619,0.001,0,rbf,100,25,0.001,0,1.010228790983092,rbf,100,25,1,0.025777847498742606,8,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
9,0.07634661702057946,2026-07-30 21:54:18.037932,2026-07-30 21:54:21.303604,3.265672,0.0,0,periodic,100,50,0.0,0,2.8906575409928337,periodic,100,50,1,0.07634661702057946,9,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
10,0.06990773257187687,2026-07-30 21:54:21.307263,2026-07-30 21:54:21.743782,0.436519,10.0,0,rbf,100,10,10.0,0,0.41227216698462144,rbf,100,10,1,0.06990773257187687,10,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
11,0.0027277658194860173,2026-07-30 21:54:21.746757,2026-07-30 21:54:31.352524,9.605767,0.1,0,rbf,1000,25,0.1,0,9.003074124979321,rbf,1000,25,1,0.0027277658194860173,11,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
12,0.04559318424606915,2026-07-30 21:54:31.356026,2026-07-30 21:54:34.340543,2.984517,0.0,0,periodic,500,10,0.0,0,2.7496614170377143,periodic,500,10,1,0.04559318424606915,12,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
13,0.0031625271448421787,2026-07-30 21:54:34.345706,2026-07-30 21:54:53.121737,18.776031,10.0,0,rbf,750,50,10.0,0,17.621371625049505,rbf,750,50,1,0.0031625271448421787,13,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
14,0.07437144333107244,2026-07-30 21:54:53.127651,2026-07-30 21:54:55.329068,2.201417,10.0,0,periodic,250,10,10.0,0,2.0688275000429712,periodic,250,10,1,0.07437144333107244,14,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
15,0.009779977371511902,2026-07-30 21:54:55.332520,2026-07-30 21:55:08.289567,12.957047,0.1,0,periodic,750,25,0.1,0,11.982720707950648,periodic,750,25,1,0.009779977371511902,15,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
16,0.06924086724324484,2026-07-30 21:55:08.297454,2026-07-30 21:55:14.857030,6.559576,0.0,0,periodic,100,100,0.0,0,5.864409834030084,periodic,100,100,1,0.06924086724324484,16,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
17,0.002732067395459874,2026-07-30 21:55:14.861781,2026-07-30 21:55:35.102859,20.241078,0.1,0,rbf,750,75,0.1,0,19.014564540993888,rbf,750,75,1,0.002732067395459874,17,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
18,0.0020964838307852562,2026-07-30 21:55:35.183548,2026-07-30 21:55:40.770533,5.586985,10.0,0,matern,500,25,10.0,0,5.119238833023701,matern,500,25,1,0.0020964838307852562,18,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
19,0.003158122034659342,2026-07-30 21:55:40.773713,2026-07-30 21:55:47.704051,6.930338,10.0,0,rbf,750,25,10.0,0,6.410370832949411,rbf,750,25,1,0.003158122034659342,19,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
20,0.0059846177729440345,2026-07-30 21:55:47.706940,2026-07-30 21:55:58.766683,11.059743,0.001,0,periodic,1000,25,0.001,0,10.064093916036654,periodic,1000,25,1,0.0059846177729440345,20,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
21,0.011484826575483725,2026-07-30 21:55:58.770079,2026-07-30 21:56:08.585505,9.815426,0.0,0,matern,500,50,0.0,0,9.017936667019967,matern,500,50,1,0.011484826575483725,21,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
22,0.014391949566040658,2026-07-30 21:56:08.588870,2026-07-30 21:56:12.687380,4.09851,1.0,0,rbf,250,25,1.0,0,3.391547625011299,rbf,250,25,1,0.014391949566040658,22,"{'alpha_edge': [0, 0.001, 0.1, 1, 10], 'alpha_neuron': [0], 'kernel_type': ['rbf', 'matern', 'periodic'], 'layer_width': [100, 250, 500, 750, 1000], 'num_inducing': [10, 25, 50, 75, 100]}",COMPLETE,
