seed,train_mae,train_rmse,train_inference_time_secs,test_mae,test_rmse,test_inference_time_secs
0,1.5125656371503538e-11,2.0242433153521237e-11,4.3145137909996265,1.7078801183706416e-11,2.5281543829227827e-11,3.156478791999689
1,1.3447239640904108e-11,1.8126549352409028e-11,2.3870289579999735,1.5694193579440794e-11,2.9946773400159474e-11,3.532666166999661
2,1.2567302609331476e-11,1.6685643961306645e-11,2.0923984589999236,1.4449409811712055e-11,2.382730450898572e-11,3.0160040000000663
3,1.8126126442516434e-11,2.463908037589199e-11,1.3791486659993097,2.1239455880867065e-11,3.5991024708314564e-11,2.4251091249998353
4,1.0556423568272577e-11,1.4265346554419623e-11,1.1984331670000756,1.1990460717370421e-11,1.8946742956657268e-11,2.12350483299997
5,1.1447387915017315e-11,1.5350642392798572e-11,1.2964107500001774,1.3371552758101313e-11,2.1485274231889458e-11,1.9854569999997693
6,1.0660818438798513e-11,1.421352531587917e-11,1.209769499999311,1.2099441648594222e-11,1.8773774936632196e-11,2.158977125000092
7,9.949417411822537e-12,1.3416590609387116e-11,1.1953736249997746,1.1316754865847711e-11,2.4008093206844817e-11,2.238622082999427
8,1.0211286543757026e-11,1.323266089381929e-11,1.1640873749993261,1.1547390372373955e-11,1.9427724062510264e-11,2.02442316700035
9,1.2950272530384832e-11,1.7818680296298758e-11,1.1005189589996007,1.5109816259295528e-11,2.5339426841706988e-11,2.185973499999818
10,1.1883229236384074e-11,1.6022219200762455e-11,1.0915451250002661,1.3729197296391548e-11,2.2397737183605824e-11,2.109579582999686
11,1.2791813502541215e-11,1.7242429713410582e-11,1.1710297090003223,1.4638774008257638e-11,2.8397378353325247e-11,2.120440249999774
12,7.961784656215776e-12,1.1019861985739177e-11,1.3057005840000784,8.923156186169123e-12,1.484186109692663e-11,2.1658920830004718
13,1.2476557188431658e-11,1.6903943273272385e-11,1.1535228329994425,1.4828121942117578e-11,2.6979460185992118e-11,2.3014474579995294
14,1.0436368288666009e-11,1.4115635852346903e-11,1.421760207999796,1.2274969701797644e-11,2.2895543920317213e-11,2.143744040999991
15,1.36854318388141e-11,1.849712958150465e-11,1.2035882919999494,1.5859088849101698e-11,2.748077359745025e-11,1.923162083000534
16,8.671475903651582e-12,1.183033777616299e-11,1.159540958999969,9.951011276793098e-12,1.781260631042843e-11,2.2184549170005994
17,1.2530206219482642e-11,1.6677534975209258e-11,1.461334208000153,1.4289380557280795e-11,2.4683215410232118e-11,2.062736500000028
18,1.0868115462789319e-11,1.4623946399365524e-11,1.1322189590000562,1.264749344559446e-11,1.9974582174478546e-11,2.1834904579991417
19,1.177568719722133e-11,1.581716591943625e-11,1.1251489169999331,1.3351530772642839e-11,2.1241035276865557e-11,2.1066792920000807
20,1.0994925708426861e-11,1.4505106809222223e-11,1.2784724590001133,1.2468140991872545e-11,1.8452192776835842e-11,2.311125958000048
21,9.534553047432782e-12,1.2709936838249959e-11,1.3832475419994807,1.1048122959544938e-11,2.1619426113028263e-11,2.3197119169999496
22,8.685294240404206e-12,1.1587062473041931e-11,1.7961744579997685,1.0110727598905412e-11,2.0894474000015958e-11,4.931819292
23,1.4420000044382265e-11,1.9813703375960538e-11,1.5068084170006841,1.669792581773799e-11,2.8292086805799508e-11,2.451277250000203
24,9.856949273120975e-12,1.3269351152489647e-11,1.470608125000581,1.167035793350757e-11,1.866030295225506e-11,2.340661875000478
25,2.1040161884630647e-11,2.8066232715031723e-11,1.211890792000304,2.45070245111223e-11,4.065614129713484e-11,2.05609558299966
26,1.1955518243109142e-11,1.5875710748477356e-11,1.8361329999997906,1.3942733070176905e-11,2.4353157410814335e-11,2.769878749999407
27,1.0015786955017147e-11,1.3456032201781233e-11,2.1830571670006975,1.1632348062562414e-11,2.0393139663644995e-11,1.9695677499994417
28,1.5178907128085563e-11,2.0530374975041527e-11,1.34084220800014,1.7117652658521497e-11,2.621738708987374e-11,2.551385291999395
29,9.530812039235115e-12,1.32252586937175e-11,1.1584273750004286,1.0824048094631999e-11,1.7260044020866455e-11,1.9894385420002436
30,1.2469826706981713e-11,1.7119764433651114e-11,1.1111870830000043,1.4378793045111137e-11,2.752648737994579e-11,2.0612701669997477
31,1.1700056739769039e-11,1.572041733999461e-11,1.271031917000073,1.3041662708102032e-11,1.9839571013556114e-11,1.9591668749999371
32,7.281014474322388e-12,9.890323493700298e-12,1.463690083000074,8.75540155723109e-12,1.6670135329168362e-11,1.9475777909992757
33,1.0831975037414732e-11,1.513605179976597e-11,1.3350744170002145,1.2741590314779838e-11,2.448122174691704e-11,2.106687957999384
34,1.2199097336115794e-11,1.6741573164184535e-11,1.2094648749998669,1.4132730796062587e-11,2.3623985393286054e-11,2.125773124999796
35,1.1779143009246761e-11,1.5814011116271024e-11,1.369944958000815,1.370427141766939e-11,2.413860136685246e-11,2.0747287080002934
36,1.3034985313006841e-11,1.7530498734531634e-11,1.2287046249984996,1.5263655227942818e-11,2.3821264252778858e-11,1.9211486250005692
37,9.365645963974045e-12,1.275415062246021e-11,1.1876717499999359,1.0898491175498349e-11,1.9593271795235493e-11,2.077619791998586
38,1.2671823706664198e-11,1.7196964782405344e-11,1.0955920839987812,1.4495240918677154e-11,2.863508167262696e-11,2.016210832998695
39,1.0950458733879898e-11,1.485327270327321e-11,1.1712787500000559,1.2672768102961473e-11,2.1100217731283234e-11,2.289409582999724
40,8.964318238754987e-12,1.2240581248928593e-11,1.2941536670005007,1.0229983897491746e-11,1.5870955148383194e-11,2.1324100000001636
41,1.0310646650010801e-11,1.382425949678385e-11,1.208639917000255,1.1896934988542274e-11,2.014834848875908e-11,2.0653582499999175
42,1.1713085435252623e-11,1.607121665476078e-11,1.1711826669998118,1.4019283840760455e-11,2.414917629487973e-11,2.0761274589985987
43,1.8453630809198152e-11,2.570199304978008e-11,1.2245285419994616,2.1117099592571353e-11,3.555766641975038e-11,2.302842832999886
44,1.0924100712558783e-11,1.5080958708382143e-11,1.278506541000752,1.2903501853123167e-11,2.1622186382395458e-11,2.4773346669990133
45,1.5021178292537463e-11,2.026971484630771e-11,1.2674486670002807,1.770214801341541e-11,3.182637276691262e-11,2.1335840840001765
46,1.2595123482714298e-11,1.736519772109917e-11,1.1984491250004794,1.421075086494028e-11,2.2165666016127267e-11,2.0416770829997404
47,5.820651603413718e-12,7.82537455710567e-12,1.2856494580009894,6.784631861878054e-12,1.1367959011807333e-11,1.9998427919999813
48,1.506298618024482e-11,2.00152082756692e-11,1.3132119590009097,1.7088402561732387e-11,2.58105931206917e-11,2.1069000830011646
49,8.653710439551766e-12,1.1997635220599695e-11,1.1418941249994532,1.0181499436601182e-11,1.893960214251396e-11,1.9230244999998831
