q,p,lo,hi,coverage,n_local,method,cond_number
0,0,0.0979489876132341,0.157359166270869,0.05944235772889282,312,interval,1373547.813476251
0,1,0.811539107015212,0.881223154949008,0.0696945769336936,372,interval,2014997.037523409
1,0,0.82502933301872,0.963411716230041,0.13845733697632923,707,interval,943797.8381877849
1,1,0.246045300925533,0.303933408591523,0.05789685434328215,283,interval,2041931.4555165258
2,0,0.503686572411172,0.793912699500241,0.290383325862672,1000,interval_capped,1309578.7563706278
2,1,0.357617187405427,0.751157146903029,0.3935994219185737,1000,interval_capped,1970331.1526501565
3,0,0.153591060943058,0.304486930958032,0.1509776016149027,738,interval,2311729.2714532386
3,1,0.592338566664636,0.819226642658779,0.22692235793670715,1000,interval_capped,1859593.3088148334
4,0,0.783895419537393,0.895693731791714,0.11185886695955563,540,interval,1530148.482399852
4,1,0.192731778229145,0.620261454124285,0.4275942740355637,1000,interval_capped,1090394.9132505
5,0,0.657269134163734,0.662065290991022,0.004798754629142735,29,interval,1159287.2257657717
5,1,0.686893133293992,0.834849354203156,0.14797857654264093,766,interval,2984967.1327445637
6,0,0.39414904166256,0.581756821925402,0.18770939658964036,944,interval,2077877.9006106295
6,1,0.381917199403944,0.820417269995171,0.43856632631739745,1000,interval_capped,1210906.625699141
7,0,0.127829460510397,0.883982518637251,0.7565626226777299,1000,interval_capped,2224927.17015565
7,1,0.466219906206523,0.661668225961242,0.19547785126730616,988,interval,1778913.4649449566
8,0,0.528383677582465,0.888391685545834,0.3602030035618244,1000,interval_capped,2260130.706170828
8,1,0.842344536616092,0.967768466353973,0.1254428808261504,602,interval,1587445.2498112752
9,0,0.28425908781245,0.654003751286712,0.36994493285809504,1000,interval_capped,1833214.4196477844
9,1,0.60753385347206,0.861849352236415,0.25435392488826486,1000,interval_capped,1092074.12163339
10,0,0.538747127782672,0.65583750255343,0.11715379588139092,612,interval,2262838.3200187795
10,1,0.178308616020268,0.538231489060876,0.3599772560451227,1000,interval_capped,1015088.3996358215
11,0,0.127365013098782,0.426666023763949,0.2994631247804143,1000,interval_capped,1144942.828413914
11,1,0.188564765670494,0.80319232217675,0.6147204244390383,1000,interval_capped,1833634.346762869
12,0,0.650548881608651,0.885882789723027,0.23546137493520924,1000,interval_capped,1282618.5607813245
12,1,0.155493067495856,0.638195914445771,0.4827757815508287,1000,interval_capped,1822563.5391909725
13,0,0.0755675470067657,0.28558443679189,0.21013064383559957,1000,interval_capped,1243644.5022167466
13,1,0.749674223531029,0.83419473130989,0.08453327851253872,431,interval,1868903.026774272
14,0,0.0469561258708965,0.826228312662464,0.7796942736425868,1000,interval_capped,1924737.5601238145
