,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test,random_seed
0,randomfeatures,64,1,5.522845412183594e-10,0.045318603515625,-1,1,1,10000,10000,1
1,randomfeatures,64,1,3.602663221173408e-11,0.025247812271118164,-1,1,1,10000,10000,2
2,randomfeatures,64,1,3.4850529880385565e-10,0.026109933853149414,-1,1,1,10000,10000,3
3,randomfeatures,64,1,8.591977285470243e-11,0.02446269989013672,-1,1,1,10000,10000,4
4,randomfeatures,64,1,3.1434347285292786e-10,0.024834871292114258,-1,1,1,10000,10000,5
5,randomfeatures,101,1,6.148303975042299e-10,0.05230307579040527,-1,1,1,10000,10000,1
6,randomfeatures,101,1,1.3725208854193944e-11,0.042205810546875,-1,1,1,10000,10000,2
7,randomfeatures,101,1,4.922919973544605e-10,0.040349483489990234,-1,1,1,10000,10000,3
8,randomfeatures,101,1,1.1555765137219518e-10,0.04112386703491211,-1,1,1,10000,10000,4
9,randomfeatures,101,1,1.53054027647511e-10,0.04036140441894531,-1,1,1,10000,10000,5
10,randomfeatures,161,1,9.79568042975269e-12,0.06900310516357422,-1,1,1,10000,10000,1
11,randomfeatures,161,1,1.7903507396777062e-11,0.06754350662231445,-1,1,1,10000,10000,2
12,randomfeatures,161,1,3.840228289893135e-12,0.06815218925476074,-1,1,1,10000,10000,3
13,randomfeatures,161,1,2.1915377822021736e-10,0.06780409812927246,-1,1,1,10000,10000,4
14,randomfeatures,161,1,5.954550920688812e-12,0.06876802444458008,-1,1,1,10000,10000,5
15,randomfeatures,256,1,3.570368393925774e-11,0.1162881851196289,-1,1,1,10000,10000,1
16,randomfeatures,256,1,6.16424721026035e-11,0.11494064331054688,-1,1,1,10000,10000,2
17,randomfeatures,256,1,6.773569402346847e-11,0.11493134498596191,-1,1,1,10000,10000,3
18,randomfeatures,256,1,6.860231090741199e-11,0.11535286903381348,-1,1,1,10000,10000,4
19,randomfeatures,256,1,6.729748703543562e-11,0.11558198928833008,-1,1,1,10000,10000,5
20,randomfeatures,406,1,3.228244537217306e-11,0.18658733367919922,-1,1,1,10000,10000,1
