,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test,random_seed
0,sampling,64,1,6.729492336967889e-11,0.03904318809509277,-1,1,1,10000,10000,1
1,sampling,64,1,3.691014714238442e-12,0.027170658111572266,-1,1,1,10000,10000,2
2,sampling,64,1,2.8200632141612544e-10,0.027264118194580078,-1,1,1,10000,10000,3
3,sampling,64,1,1.035488969042494e-11,0.027643442153930664,-1,1,1,10000,10000,4
4,sampling,64,1,5.2596334490860066e-11,0.027601242065429688,-1,1,1,10000,10000,5
5,sampling,101,1,7.360457277611588e-11,0.048029184341430664,-1,1,1,10000,10000,1
6,sampling,101,1,4.9563988034145736e-12,0.04516434669494629,-1,1,1,10000,10000,2
7,sampling,101,1,1.373360751251607e-11,0.045102596282958984,-1,1,1,10000,10000,3
8,sampling,101,1,1.8353046128301508e-12,0.04582643508911133,-1,1,1,10000,10000,4
9,sampling,101,1,1.0218214882448142e-11,0.04485440254211426,-1,1,1,10000,10000,5
10,sampling,161,1,2.1473939937731967e-11,0.07712364196777344,-1,1,1,10000,10000,1
11,sampling,161,1,5.0915290643965374e-12,0.07427430152893066,-1,1,1,10000,10000,2
12,sampling,161,1,1.7727639757701913e-11,0.07412123680114746,-1,1,1,10000,10000,3
13,sampling,161,1,6.566479611049108e-11,0.0751047134399414,-1,1,1,10000,10000,4
14,sampling,161,1,2.6712644433960503e-12,0.0760035514831543,-1,1,1,10000,10000,5
15,sampling,256,1,3.1457181106755164e-12,0.1251680850982666,-1,1,1,10000,10000,1
16,sampling,256,1,6.755786467193354e-12,0.12029242515563965,-1,1,1,10000,10000,2
17,sampling,256,1,5.118416191231293e-12,0.1207418441772461,-1,1,1,10000,10000,3
18,sampling,256,1,6.946556601258522e-11,0.12089347839355469,-1,1,1,10000,10000,4
19,sampling,256,1,2.6342348466783736e-12,0.12039852142333984,-1,1,1,10000,10000,5
20,sampling,406,1,3.1748412885211365e-12,0.19671249389648438,-1,1,1,10000,10000,1
21,sampling,406,1,3.916487034695865e-12,0.19263339042663574,-1,1,1,10000,10000,2
22,sampling,406,1,9.579599796136904e-12,0.19283080101013184,-1,1,1,10000,10000,3
23,sampling,406,1,2.0933462485023347e-11,0.19263052940368652,-1,1,1,10000,10000,4
24,sampling,406,1,2.1291053116651794e-11,0.19147658348083496,-1,1,1,10000,10000,5
25,sampling,645,1,5.290435173494427e-12,0.3295121192932129,-1,1,1,10000,10000,1
26,sampling,645,1,4.26864800637545e-11,0.3288538455963135,-1,1,1,10000,10000,2
27,sampling,645,1,8.714291335418871e-12,0.3289642333984375,-1,1,1,10000,10000,3
28,sampling,645,1,1.0036682558096018e-11,0.3288726806640625,-1,1,1,10000,10000,4
29,sampling,645,1,1.509914666469857e-11,0.328549861907959,-1,1,1,10000,10000,5
30,sampling,1024,1,1.3149291018973926e-12,0.6442067623138428,-1,1,1,10000,10000,1
31,sampling,1024,1,2.1681705818535097e-11,0.6454668045043945,-1,1,1,10000,10000,2
32,sampling,1024,1,2.422713010768241e-11,0.6410017013549805,-1,1,1,10000,10000,3
33,sampling,1024,1,2.578234277337525e-11,0.6429276466369629,-1,1,1,10000,10000,4
34,sampling,1024,1,2.484674739008651e-11,0.6404204368591309,-1,1,1,10000,10000,5
35,sampling,1625,1,4.109325778600892e-12,1.443694829940796,-1,1,1,10000,10000,1
36,sampling,1625,1,1.0199177917040874e-11,1.4384710788726807,-1,1,1,10000,10000,2
37,sampling,1625,1,1.0510717065835667e-11,1.890812635421753,-1,1,1,10000,10000,3
38,sampling,1625,1,3.2856120054758354e-11,1.440065860748291,-1,1,1,10000,10000,4
39,sampling,1625,1,4.8165734195960544e-12,1.4296939373016357,-1,1,1,10000,10000,5
40,sampling,2580,1,1.8509524551774985e-11,5.16173791885376,-1,1,1,10000,10000,1
41,sampling,2580,1,5.123775041157902e-12,4.90203332901001,-1,1,1,10000,10000,2
42,sampling,2580,1,3.4144101228066824e-12,4.913172245025635,-1,1,1,10000,10000,3
43,sampling,2580,1,4.445143615806732e-12,4.904545307159424,-1,1,1,10000,10000,4
44,sampling,2580,1,8.795876208003067e-12,4.916742324829102,-1,1,1,10000,10000,5
45,sampling,4096,1,1.4013834995962951e-12,17.440743684768677,-1,1,1,10000,10000,1
46,sampling,4096,1,6.855998873563686e-12,18.817570447921753,-1,1,1,10000,10000,2
47,sampling,4096,1,3.1674734963688125e-12,23.07715630531311,-1,1,1,10000,10000,3
48,sampling,4096,1,1.1741888489587023e-11,17.46636152267456,-1,1,1,10000,10000,4
49,sampling,4096,1,2.5411667380473822e-12,17.43619465827942,-1,1,1,10000,10000,5
50,sampling,64,2,1.1383242707152701e-05,0.04856157302856445,-1,1,1,10000,10000,1
51,sampling,64,2,0.00016174904206941312,0.04349994659423828,-1,1,1,10000,10000,2
52,sampling,64,2,0.0004451454355053399,0.04399752616882324,-1,1,1,10000,10000,3
53,sampling,64,2,0.0008585605679472599,0.04418492317199707,-1,1,1,10000,10000,4
54,sampling,64,2,0.0005447927296911227,0.04903221130371094,-1,1,1,10000,10000,5
55,sampling,101,2,0.0002706621686478704,0.08342146873474121,-1,1,1,10000,10000,1
56,sampling,101,2,2.030402245124883e-05,0.08440685272216797,-1,1,1,10000,10000,2
57,sampling,101,2,0.0001870117723431876,0.08438706398010254,-1,1,1,10000,10000,3
58,sampling,101,2,0.0002905563067952087,0.08487534523010254,-1,1,1,10000,10000,4
59,sampling,101,2,0.0006942851018256936,0.08883476257324219,-1,1,1,10000,10000,5
60,sampling,161,2,0.0003396302104046506,0.13683605194091797,-1,1,1,10000,10000,1
61,sampling,161,2,1.919059982891192e-06,0.13698744773864746,-1,1,1,10000,10000,2
62,sampling,161,2,7.77342445784468e-05,0.13651490211486816,-1,1,1,10000,10000,3
63,sampling,161,2,0.00015127011811340112,0.13914847373962402,-1,1,1,10000,10000,4
64,sampling,161,2,3.400767877418341e-05,0.1365647315979004,-1,1,1,10000,10000,5
65,sampling,256,2,7.40965890063673e-05,0.22829675674438477,-1,1,1,10000,10000,1
66,sampling,256,2,2.185827260702547e-07,0.2274160385131836,-1,1,1,10000,10000,2
67,sampling,256,2,4.679637228136465e-05,0.22077512741088867,-1,1,1,10000,10000,3
68,sampling,256,2,4.76273192408692e-05,0.22158145904541016,-1,1,1,10000,10000,4
69,sampling,256,2,7.198390329142559e-07,0.22024059295654297,-1,1,1,10000,10000,5
70,sampling,406,2,2.4740507867309676e-05,0.35423779487609863,-1,1,1,10000,10000,1
71,sampling,406,2,1.2662524049900924e-06,0.35489606857299805,-1,1,1,10000,10000,2
72,sampling,406,2,1.6109206101242702e-05,0.343048095703125,-1,1,1,10000,10000,3
73,sampling,406,2,1.5538480407609143e-05,0.3505070209503174,-1,1,1,10000,10000,4
74,sampling,406,2,4.112774860279223e-08,0.33918237686157227,-1,1,1,10000,10000,5
