,model_type,n_width,n_layers,l2_relative,time_fit,xlim_min,xlim_max,n_dim,n_points_train,n_points_test
0,sampling,64,1,3.952349586236764e-09,0.04930877685546875,-1,1,1,10000,10000
1,sampling,79,1,7.801948051189837e-10,0.022081613540649414,-1,1,1,10000,10000
2,sampling,99,1,1.9496154292295977e-10,0.029845237731933594,-1,1,1,10000,10000
3,sampling,123,1,2.9211163805734416e-10,0.04029989242553711,-1,1,1,10000,10000
4,sampling,153,1,8.034828204444375e-10,0.05116677284240723,-1,1,1,10000,10000
5,sampling,191,1,1.0345229344378652e-09,0.06407594680786133,-1,1,1,10000,10000
6,sampling,237,1,6.522640730014493e-10,0.07733869552612305,-1,1,1,10000,10000
7,sampling,296,1,3.831076570516759e-10,0.10014057159423828,-1,1,1,10000,10000
8,sampling,368,1,3.870908061929176e-10,0.1304924488067627,-1,1,1,10000,10000
9,sampling,458,1,1.1506748022297286e-10,0.17396187782287598,-1,1,1,10000,10000
10,sampling,571,1,2.2457454300855106e-10,0.23519372940063477,-1,1,1,10000,10000
11,sampling,710,1,1.073106393487012e-10,0.31618738174438477,-1,1,1,10000,10000
12,sampling,884,1,2.5507060950233377e-11,0.4315297603607178,-1,1,1,10000,10000
13,sampling,1101,1,3.560571132814595e-11,0.6056594848632812,-1,1,1,10000,10000
14,sampling,1371,1,9.030195019785335e-11,0.8929023742675781,-1,1,1,10000,10000
15,sampling,1706,1,1.089621939840742e-10,1.4561166763305664,-1,1,1,10000,10000
16,sampling,2124,1,6.80081765269323e-11,2.5878210067749023,-1,1,1,10000,10000
17,sampling,2643,1,7.76199270142284e-11,4.837874412536621,-1,1,1,10000,10000
18,sampling,3290,1,3.518362484716352e-11,9.048015356063843,-1,1,1,10000,10000
19,sampling,4096,1,1.3671269569360027e-10,17.763445615768433,-1,1,1,10000,10000
20,sampling,64,2,0.13628437521999037,0.023533105850219727,-1,1,1,10000,10000
21,sampling,79,2,0.022448312734268824,0.03146982192993164,-1,1,1,10000,10000
22,sampling,99,2,0.00014739375221925827,0.042192697525024414,-1,1,1,10000,10000
23,sampling,123,2,3.7512901158948295e-05,0.054439544677734375,-1,1,1,10000,10000
24,sampling,153,2,4.4511642663584006e-05,0.06824588775634766,-1,1,1,10000,10000
25,sampling,191,2,1.492797739510572e-05,0.08649277687072754,-1,1,1,10000,10000
26,sampling,237,2,1.1241831904304607e-05,0.11418867111206055,-1,1,1,10000,10000
27,sampling,296,2,8.352951884311488e-06,0.15430569648742676,-1,1,1,10000,10000
28,sampling,368,2,4.591681746521791e-06,0.24454522132873535,-1,1,1,10000,10000
29,sampling,458,2,4.116298737202993e-06,0.27976274490356445,-1,1,1,10000,10000
30,sampling,571,2,2.7530134645524695e-06,0.4387991428375244,-1,1,1,10000,10000
31,sampling,710,2,2.53873039913836e-06,0.5574946403503418,-1,1,1,10000,10000
32,sampling,884,2,3.265832080791359e-06,0.7423763275146484,-1,1,1,10000,10000
33,sampling,1101,2,1.2977048999134443e-06,1.0025203227996826,-1,1,1,10000,10000
34,sampling,1371,2,1.114591236962643e-06,1.4121062755584717,-1,1,1,10000,10000
35,sampling,1706,2,3.9951108779644246e-07,2.10917592048645,-1,1,1,10000,10000
36,sampling,2124,2,4.6043594174326993e-07,3.5014281272888184,-1,1,1,10000,10000
37,sampling,2643,2,2.128569950832137e-07,6.058957576751709,-1,1,1,10000,10000
38,sampling,3290,2,1.0286871815518744e-07,10.668682336807251,-1,1,1,10000,10000
39,sampling,4096,2,4.112703412283179e-08,19.088786363601685,-1,1,1,10000,10000
40,sampling,64,3,0.6187387630230556,0.03036355972290039,-1,1,1,10000,10000
41,sampling,79,3,0.5264875446049057,0.042600154876708984,-1,1,1,10000,10000
42,sampling,99,3,0.07644462718057876,0.058413028717041016,-1,1,1,10000,10000
43,sampling,123,3,0.20451852952109426,0.07526898384094238,-1,1,1,10000,10000
44,sampling,153,3,0.1380245376417477,0.10215163230895996,-1,1,1,10000,10000
45,sampling,191,3,0.055435339848045204,0.12622976303100586,-1,1,1,10000,10000
46,sampling,237,3,0.024549708692952286,0.16531062126159668,-1,1,1,10000,10000
47,sampling,296,3,0.0031540399282913474,0.20540452003479004,-1,1,1,10000,10000
48,sampling,368,3,0.002197762742716704,0.2733588218688965,-1,1,1,10000,10000
49,sampling,458,3,0.000598507574278249,0.42579102516174316,-1,1,1,10000,10000
50,sampling,571,3,0.00021687595663948445,0.5493850708007812,-1,1,1,10000,10000
51,sampling,710,3,0.00012470611357873865,0.7662351131439209,-1,1,1,10000,10000
52,sampling,884,3,1.080062568490357e-05,1.0103085041046143,-1,1,1,10000,10000
53,sampling,1101,3,5.300484591889678e-06,1.3275961875915527,-1,1,1,10000,10000
54,sampling,1371,3,2.304641025600592e-06,1.8628795146942139,-1,1,1,10000,10000
55,sampling,1706,3,1.6358368976636677e-06,2.705723524093628,-1,1,1,10000,10000
56,sampling,2124,3,9.581115982366154e-07,4.274842023849487,-1,1,1,10000,10000
57,sampling,2643,3,7.840740690411192e-07,7.091145038604736,-1,1,1,10000,10000
58,sampling,3290,3,3.389132067872985e-07,12.060256958007812,-1,1,1,10000,10000
59,sampling,4096,3,1.8468028170263153e-07,21.242345094680786,-1,1,1,10000,10000
60,sampling,64,1,0.01408008749672375,0.018599987030029297,-1,1,2,10000,10000
61,sampling,79,1,0.013753599150238887,0.020630359649658203,-1,1,2,10000,10000
62,sampling,99,1,0.013393037154054788,0.02622842788696289,-1,1,2,10000,10000
63,sampling,123,1,0.013051441046073253,0.03512001037597656,-1,1,2,10000,10000
64,sampling,153,1,0.01009352965893144,0.04433131217956543,-1,1,2,10000,10000
65,sampling,191,1,0.009088530516599184,0.05913519859313965,-1,1,2,10000,10000
66,sampling,237,1,0.007499738564179854,0.07401251792907715,-1,1,2,10000,10000
67,sampling,296,1,0.007234191638625834,0.10766243934631348,-1,1,2,10000,10000
68,sampling,368,1,0.006950926193695262,0.13682317733764648,-1,1,2,10000,10000
69,sampling,458,1,0.006364977490512331,0.20121502876281738,-1,1,2,10000,10000
70,sampling,571,1,0.006118837574770512,0.29967451095581055,-1,1,2,10000,10000
71,sampling,710,1,0.004547562455140244,0.39592957496643066,-1,1,2,10000,10000
72,sampling,884,1,0.0042589587827504775,0.5337204933166504,-1,1,2,10000,10000
73,sampling,1101,1,0.0039533283597646554,0.7454178333282471,-1,1,2,10000,10000
74,sampling,1371,1,0.0034665037922099722,1.0622062683105469,-1,1,2,10000,10000
75,sampling,1706,1,0.0029104114395094097,1.6849346160888672,-1,1,2,10000,10000
76,sampling,2124,1,0.002368486256409348,2.873223066329956,-1,1,2,10000,10000
77,sampling,2643,1,0.0014733472385334875,5.218250513076782,-1,1,2,10000,10000
78,sampling,3290,1,0.0009004355870658015,9.494325160980225,-1,1,2,10000,10000
79,sampling,4096,1,0.0005250701730850623,17.37087082862854,-1,1,2,10000,10000
80,sampling,64,2,0.15515981098066203,0.023194313049316406,-1,1,2,10000,10000
81,sampling,79,2,0.10946043424502447,0.033335208892822266,-1,1,2,10000,10000
82,sampling,99,2,0.1382425312176785,0.041970014572143555,-1,1,2,10000,10000
83,sampling,123,2,0.04534471382453196,0.05341148376464844,-1,1,2,10000,10000
84,sampling,153,2,0.014326464270556165,0.06923723220825195,-1,1,2,10000,10000
85,sampling,191,2,0.008842523110003636,0.08808398246765137,-1,1,2,10000,10000
86,sampling,237,2,0.006101178899677354,0.11082196235656738,-1,1,2,10000,10000
87,sampling,296,2,0.0058455686842981535,0.14994263648986816,-1,1,2,10000,10000
88,sampling,368,2,0.004214507013881955,0.2069246768951416,-1,1,2,10000,10000
89,sampling,458,2,0.003586273358051568,0.3785061836242676,-1,1,2,10000,10000
90,sampling,571,2,0.002681064963945697,0.48108673095703125,-1,1,2,10000,10000
91,sampling,710,2,0.002684301901450252,0.6261522769927979,-1,1,2,10000,10000
92,sampling,884,2,0.0022735423542020175,0.8298895359039307,-1,1,2,10000,10000
93,sampling,1101,2,0.0018879159013538132,1.0892069339752197,-1,1,2,10000,10000
94,sampling,1371,2,0.00203161614774934,1.5147175788879395,-1,1,2,10000,10000
95,sampling,1706,2,0.001556275995140644,2.273104429244995,-1,1,2,10000,10000
96,sampling,2124,2,0.0013725313788968516,3.672156572341919,-1,1,2,10000,10000
97,sampling,2643,2,0.0007971207062767095,6.278989553451538,-1,1,2,10000,10000
98,sampling,3290,2,0.0003811666213027527,10.930898904800415,-1,1,2,10000,10000
99,sampling,4096,2,0.0002925818133991373,19.42101812362671,-1,1,2,10000,10000
100,sampling,64,3,0.04328774031950235,0.030860185623168945,-1,1,2,10000,10000
101,sampling,79,3,0.02434890846555981,0.04989027976989746,-1,1,2,10000,10000
102,sampling,99,3,0.0353527365845647,0.05909276008605957,-1,1,2,10000,10000
103,sampling,123,3,0.009417802137788601,0.07668232917785645,-1,1,2,10000,10000
104,sampling,153,3,0.00784445176389302,0.09564924240112305,-1,1,2,10000,10000
105,sampling,191,3,0.006234143057803091,0.12255454063415527,-1,1,2,10000,10000
106,sampling,237,3,0.006398440917566711,0.154022216796875,-1,1,2,10000,10000
107,sampling,296,3,0.005113915642668352,0.217759370803833,-1,1,2,10000,10000
108,sampling,368,3,0.004214930532774809,0.27730751037597656,-1,1,2,10000,10000
109,sampling,458,3,0.0031945539838525265,0.4460792541503906,-1,1,2,10000,10000
110,sampling,571,3,0.002617574202026081,0.5766422748565674,-1,1,2,10000,10000
111,sampling,710,3,0.0018467280948385849,0.737835168838501,-1,1,2,10000,10000
112,sampling,884,3,0.0017019024088382306,1.1033215522766113,-1,1,2,10000,10000
113,sampling,1101,3,0.0017377972232166883,1.433284044265747,-1,1,2,10000,10000
114,sampling,1371,3,0.0015797432184906815,1.9668960571289062,-1,1,2,10000,10000
115,sampling,1706,3,0.0012553729985223328,2.8103127479553223,-1,1,2,10000,10000
116,sampling,2124,3,0.0009617980728120406,4.433257341384888,-1,1,2,10000,10000
117,sampling,2643,3,0.0009632087283195077,7.299432039260864,-1,1,2,10000,10000
118,sampling,3290,3,0.000712273907976949,12.305805444717407,-1,1,2,10000,10000
119,sampling,4096,3,0.00048352510047982645,21.420165300369263,-1,1,2,10000,10000
120,sampling,64,1,0.022824830046437,0.014847517013549805,-1,1,3,10000,10000
121,sampling,79,1,0.019379269580541654,0.02032470703125,-1,1,3,10000,10000
