,n_width,n_layers,l2_mean,l2_std,l2_min,l2_max,random_state
0,100,1,0.004370994017901995,0.000518510985451969,0.003572342642106574,0.005188806462553046,1
1,100,1,0.004638296947375497,0.0016910969159345042,0.0023733348913437136,0.007539535874926136,2
2,100,1,0.006200365520262371,0.002452789323741185,0.002410531814878658,0.009672936429353976,3
3,100,1,0.005677733271905433,0.0012419451974903363,0.004055260226170312,0.007840054584859793,4
4,100,1,0.004260301027196543,0.0013680647605121196,0.001990837907103778,0.005536846133063101,5
5,175,1,0.003569692480980308,0.0018550469911413911,0.0010288986993253106,0.005947652073419361,1
6,175,1,0.0026377411121305157,0.0008657621880720646,0.0014820686308921799,0.0037575598270046025,2
7,175,1,0.0030787882122603797,0.0009856709532239246,0.0016499178590182223,0.004619185369058019,3
8,175,1,0.0020572636892952443,0.0006818082262304716,0.0009595699297855606,0.0031043382654211836,4
9,175,1,0.002388695061686069,0.0008847212678141967,0.0009799432365881777,0.0034735747064324474,5
10,308,1,0.0012686503119900615,0.0006299170474179013,0.00034004986364772515,0.0021211993650249077,1
11,308,1,0.0014477234141673785,0.000808082181700195,0.0006453185627196434,0.002821792873001349,2
12,308,1,0.0014688146463701518,0.0007315144886199195,0.0007180801082252556,0.002661108702135374,3
13,308,1,0.0014140253725749025,0.0005328558236898206,0.0007476282619997336,0.0022082982955529667,4
14,308,1,0.001554011674781325,0.0007975376677865778,0.0007319167291141551,0.002643494526241155,5
15,542,1,0.0005341162746039336,0.0003465943765837156,8.998991262407811e-05,0.0010244554629411074,1
16,542,1,0.0005001895241813941,0.0002854529043191039,0.00014234809218937136,0.0009026707485389347,2
17,542,1,0.0006220754142285056,0.00026168190758247547,0.00038734797784774724,0.0010459968690783468,3
18,542,1,0.0006589975068090482,0.0003854053596519463,0.00019822392982468925,0.0011106794050576058,4
19,542,1,0.0005422805458999773,0.00038717808720602356,5.739737220895704e-05,0.001024089408747066,5
20,954,1,0.00010354178944136395,8.421655953827554e-05,1.7096500845188324e-05,0.0002380273756996884,1
21,954,1,7.692078285139828e-05,4.678720651677824e-05,2.675021895802287e-05,0.0001540297303174096,2
22,954,1,0.0002716796716603379,0.00024832478745183834,1.934754562245445e-05,0.0007115515815362466,3
23,954,1,0.00014203653364067612,0.00012427151301167588,2.455590511129393e-05,0.00037095962799971107,4
24,954,1,0.00019309534395091008,0.0002130407075360748,1.506674108781568e-05,0.0005137311268684372,5
25,1676,1,2.3159290729288286e-05,3.7998956494664706e-05,2.6403530758854098e-06,9.913058600018563e-05,1
26,1676,1,1.0508746822806367e-05,1.2038120321314927e-05,1.5949477601250352e-06,3.3885228407100896e-05,2
27,1676,1,2.168054027508588e-05,2.0303031967490485e-05,2.281876372567207e-06,5.717997484692985e-05,3
28,1676,1,1.5519088719802248e-05,1.6980829759963247e-05,2.108180864740374e-06,4.765935046372477e-05,4
29,1676,1,1.4545473612194353e-05,1.2702942395628042e-05,8.45486212855263e-07,3.402401476328969e-05,5
30,2947,1,2.059340274397486e-07,2.476699144921006e-07,2.99921068727813e-09,5.7567704326834e-07,1
31,2947,1,1.6359865890922643e-07,2.4187084132631353e-07,2.2239357754180808e-08,6.459149733871891e-07,2
32,2947,1,1.1752337848705425e-07,7.938866792008383e-08,3.1679304000229446e-08,2.518402383382603e-07,3
33,2947,1,9.437770318449418e-07,1.1870548291687141e-06,3.7647739759412855e-08,3.2698629410254317e-06,4
34,2947,1,3.182798658118881e-07,3.7021958695230154e-07,1.6673564312644395e-08,1.0233442804064008e-06,5
35,5179,1,2.215946625633907e-08,2.412992044779836e-08,1.5114200887553516e-09,5.694268268312279e-08,1
36,5179,1,5.340429935752539e-08,9.919511928040378e-08,6.753704255417545e-10,2.5166787902597137e-07,2
37,5179,1,1.9313446690952534e-08,3.0341619389648525e-08,1.4264729491897973e-09,7.981143054342793e-08,3
38,5179,1,1.927325933045861e-08,2.588992649581905e-08,3.2791691484712177e-09,7.049379017977655e-08,4
39,5179,1,2.815270660736835e-08,3.01348326917563e-08,2.4897468070206543e-09,8.618995171757084e-08,5
40,9103,1,1.710697875550422e-09,1.7908830698762684e-09,8.36906741384657e-11,4.482119149758371e-09,1
41,9103,1,2.730015815613397e-10,1.4353535661315863e-10,1.0200889946350372e-10,5.195349785655755e-10,2
42,9103,1,4.267290655031784e-09,4.386424690155985e-09,1.6415649869830656e-10,1.1828981823693089e-08,3
43,9103,1,1.1923091301351353e-09,9.38768392485868e-10,1.6381873607874915e-10,2.6664009344170866e-09,4
44,9103,1,1.3000642467599704e-09,2.1798608413096655e-09,9.718410094071857e-11,5.654344250867367e-09,5
45,16000,1,2.3360559721601525e-11,2.2660192056368026e-11,5.979873528623891e-12,6.810598904155347e-11,1
46,16000,1,1.2764361803964324e-10,1.1630852530175326e-10,1.3697330191605348e-11,3.2645106455892526e-10,2
47,16000,1,1.8080229293357648e-10,2.0361282519649777e-10,6.058252230251154e-12,5.634369538955762e-10,3
48,16000,1,6.677470572594008e-11,5.5208133244624815e-11,5.686005551177745e-12,1.477131678778212e-10,4
49,16000,1,6.652024597795934e-09,1.2021325065870192e-08,1.356514529181522e-11,3.061481993299497e-08,5
