,architecture,input_dim,layer_width,n_layers,n_modes,batch_size,learning_rate,n_epochs,patience,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
0,deeponet,256,2048,4,8,n/a,5e-05,90000,4500,0,0.02116665616631508,0.02112756296992302,0.020805979147553444,909.180500280112,136346098
1,deeponet,256,4098,2,16,n/a,5e-05,90000,4500,0,0.004326017573475838,0.004549761302769184,0.004534915089607239,1800.0858203312382,732890380
2,deeponet,256,1024,4,8,n/a,0.0005,90000,4500,0,0.022744175046682358,0.022833915427327156,0.022525878623127937,135.6247695563361,418368851
3,deeponet,256,2048,2,16,n/a,0.0005,90000,4500,0,0.008512945845723152,0.008737119846045971,0.008656979538500309,213.7689987095073,450354105
4,deeponet,256,1024,4,8,n/a,0.0001,90000,4500,0,0.021165553480386734,0.021105768159031868,0.020789187401533127,290.88265306316316,213947774
5,deeponet,256,1024,1,16,n/a,1e-05,90000,4500,0,0.0057295034639537334,0.005985429044812918,0.005965203046798706,427.8060984844342,736475757
6,deeponet,256,512,2,8,n/a,1e-05,90000,4500,0,0.02078154869377613,0.02067245915532112,0.020343733951449394,469.05751741304994,878823630
7,deeponet,256,2048,1,32,n/a,0.0001,90000,4500,0,0.004230208229273558,0.00444319611415267,0.00442355964332819,494.9524290096015,589309482
8,deeponet,256,2048,2,32,n/a,5e-05,90000,4500,0,0.0016175649361684918,0.001792827621102333,0.0017849660944193602,1467.5354795698076,128392221
9,deeponet,256,512,4,16,n/a,1e-05,90000,4500,0,0.0020510859321802855,0.0023229278158396482,0.0022925364319235086,681.1308236643672,51776302
10,deeponet,256,256,1,8,n/a,1e-05,90000,4500,0,0.021805843338370323,0.021756313741207123,0.02144169807434082,411.4965059654787,597605805
11,deeponet,256,2048,4,8,n/a,0.0005,90000,4500,0,0.023680362850427628,0.02377721667289734,0.023462453857064247,417.78177495114505,307437627
12,deeponet,256,512,4,32,n/a,5e-05,90000,4500,0,0.0017743780044838786,0.0020419619977474213,0.0020296063739806414,663.8022026782855,981373646
13,deeponet,256,256,2,8,n/a,1e-05,90000,4500,0,0.020826594904065132,0.020721109583973885,0.02039239928126335,434.7583434553817,19059194
14,deeponet,256,512,1,32,n/a,1e-05,90000,4500,0,0.006402021739631891,0.006627493072301149,0.0066145979799330235,406.2880358900875,998497449
15,deeponet,256,4098,4,32,n/a,0.0001,90000,4500,0,0.003768464084714651,0.004180187825113535,0.004146452061831951,3285.6130524417385,368073897
16,deeponet,256,4098,2,32,n/a,1e-05,90000,4500,0,0.0015983287012204528,0.0017727268859744072,0.0017724712379276752,5761.154498505406,633394443
17,deeponet,256,512,1,8,n/a,5e-05,90000,4500,0,0.02132449671626091,0.021253300830721855,0.02093261107802391,394.13285115826875,610921097
18,deeponet,256,4098,4,32,n/a,0.0005,90000,4500,0,0.013672016561031342,0.013939658179879189,0.013823387213051319,1026.104489609599,700961222
19,deeponet,256,1024,2,32,n/a,1e-05,90000,4500,0,0.0016377862775698304,0.0018132920376956463,0.001803741091862321,758.2464562254027,304517703
20,deeponet,256,4098,2,8,n/a,5e-05,90000,4500,0,0.021588070318102837,0.021541336551308632,0.021216008812189102,1337.274928203784,678930894
21,deeponet,256,512,2,32,n/a,0.0001,90000,4500,0,0.0016642296686768532,0.0018460110295563936,0.0018328602891415358,455.3995382329449,993896346
22,deeponet,256,1024,2,8,n/a,0.0005,90000,4500,0,0.02138100564479828,0.021325906738638878,0.02102121151983738,122.82874777633697,29142739
23,deeponet,256,512,1,32,n/a,5e-05,90000,4500,0,0.004598303232342005,0.004793349653482437,0.004753929562866688,382.03422725759447,340213233
24,deeponet,256,256,2,32,n/a,0.0005,90000,4500,0,0.002711461391299963,0.0029176820535212755,0.0029122200794517994,225.3094145404175,574971464
25,deeponet,256,4098,4,8,n/a,0.0001,90000,4500,0,0.022134674713015556,0.022143529728055,0.021837973967194557,2533.0436893934384,450913434
26,deeponet,256,2048,1,16,n/a,1e-05,90000,4500,0,0.0055138845928013325,0.005789523478597403,0.005754465702921152,532.6439911667258,878395602
27,deeponet,256,256,2,32,n/a,1e-05,90000,4500,0,0.0023600906133651733,0.0025460715405642986,0.0025281328707933426,428.4684489397332,769358909
28,deeponet,256,1024,4,16,n/a,0.0005,90000,4500,0,0.007020672783255577,0.007502324879169464,0.007394357118755579,190.38024442456663,880878548
29,deeponet,256,2048,4,32,n/a,0.0005,90000,4500,0,0.007408628705888987,0.007854817435145378,0.007839221507310867,383.6860317559913,721897961
30,deeponet,256,256,1,32,n/a,1e-05,90000,4500,0,0.007949034683406353,0.008093015290796757,0.008095650002360344,399.3660014383495,459914191
31,deeponet,256,2048,1,16,n/a,0.0001,90000,4500,0,0.005117200314998627,0.005352652166038752,0.005347799975425005,492.3677676860243,380754120
32,deeponet,256,512,4,32,n/a,0.0001,90000,4500,0,0.0019932433497160673,0.0022877457085996866,0.0022861689794808626,550.0006637787446,690123387
33,deeponet,256,256,4,16,n/a,5e-05,90000,4500,0,0.0023167782928794622,0.0025809514336287975,0.002545031486079097,511.886996043846,732684905
34,deeponet,256,1024,1,8,n/a,1e-05,90000,4500,0,0.021422967314720154,0.02135755494236946,0.021042387932538986,417.0695537775755,527149117
35,deeponet,256,512,1,16,n/a,0.0001,90000,4500,0,0.004855931270867586,0.005041996482759714,0.005023863632231951,383.6367894234136,10395385
36,deeponet,256,4098,2,8,n/a,1e-05,90000,4500,0,0.020821593701839447,0.020718909800052643,0.020384512841701508,4096.450198593549,391592736
37,deeponet,256,4098,4,8,n/a,1e-05,90000,4500,0,0.021074717864394188,0.020996244624257088,0.020678872242569923,4978.399274543859,332674263
38,deeponet,256,2048,2,16,n/a,5e-05,90000,4500,0,0.0028613130562007427,0.003051675856113434,0.0030453605577349663,956.0607455121353,302120786
39,deeponet,256,256,4,32,n/a,0.0001,90000,4500,0,0.0022377956192940474,0.0024691408034414053,0.0024753331672400236,540.9431629814208,839965039
40,deeponet,256,2048,4,32,n/a,0.0001,90000,4500,0,0.003056390443816781,0.0034554742742329836,0.003420033026486635,921.3924203850329,647553615
41,deeponet,256,2048,4,8,n/a,1e-05,90000,4500,0,0.02082248590886593,0.020724395290017128,0.020391251891851425,2523.024500465952,928898518
42,deeponet,256,1024,2,8,n/a,0.0001,90000,4500,0,0.020934822037816048,0.020850718021392822,0.0205091442912817,239.17907040007412,916459116
43,deeponet,256,4098,1,32,n/a,1e-05,90000,4500,0,0.004980294965207577,0.005273124203085899,0.005258894991129637,782.4899998987094,499728210
44,deeponet,256,512,2,32,n/a,5e-05,90000,4500,0,0.0017030946910381317,0.0018798975506797433,0.001870461506769061,463.9949068604037,594532639
45,deeponet,256,256,4,32,n/a,5e-05,90000,4500,0,0.0022202893160283566,0.0024727643467485905,0.002453169319778681,503.6561407446861,769004131
46,deeponet,256,2048,4,16,n/a,0.0001,90000,4500,0,0.003151866840198636,0.003571842098608613,0.003552255919203162,1426.257141998969,733967587
47,deeponet,256,512,1,16,n/a,1e-05,90000,4500,0,0.006458521354943514,0.006639101076871157,0.006663690786808729,399.3950841994956,714793775
