,layer_width,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
0,256,8,1e-05,1,n/a,0.02183079533278942,0.021764686331152916,0.021465618163347244,472.0194514427955,deeponet,adam
1,256,8,1e-05,2,n/a,0.020823711529374123,0.02071780463059743,0.020389582961797714,497.78648666416603,deeponet,adam
2,256,8,1e-05,4,n/a,0.02075788068274657,0.02065110392868519,0.020316415776809055,613.4929807186127,deeponet,adam
3,256,8,5e-05,1,n/a,0.02138040338953336,0.02130214497447014,0.020982392132282257,461.75137604400516,deeponet,adam
4,256,8,5e-05,2,n/a,0.02077596200009187,0.020663706585764885,0.02032719242076079,432.5545920114964,deeponet,adam
5,256,8,5e-05,4,n/a,0.020745325833559036,0.020637727652986843,0.02030260923008124,568.1303721377626,deeponet,adam
6,256,8,0.0001,1,n/a,0.021277565509080887,0.02119128095606963,0.020864915723601978,454.5221856748685,deeponet,adam
7,256,8,0.0001,2,n/a,0.02078810582558314,0.020680819327632587,0.020346277082959812,419.1919507381196,deeponet,adam
8,256,8,0.0001,4,n/a,0.02082793538769086,0.020734141891201336,0.02040385330716769,325.39319753088057,deeponet,adam
9,256,8,0.0005,1,n/a,0.02155946319301923,0.02147846668958664,0.02117418373624484,276.97683376042795,deeponet,adam
10,256,8,0.0005,2,n/a,0.0210737157613039,0.02098946583767732,0.020659410084287327,174.59646890716007,deeponet,adam
11,256,8,0.0005,4,n/a,0.02113392762839794,0.02111724515755971,0.020809384062886238,154.40904089063406,deeponet,adam
12,256,16,1e-05,1,n/a,0.0074100241375466185,0.00758983101695776,0.007570123299956322,455.44685381247353,deeponet,adam
13,256,16,1e-05,2,n/a,0.002808776761715611,0.0030188887224843106,0.00299155549146235,539.6716750326256,deeponet,adam
14,256,16,1e-05,4,n/a,0.0026564478563765683,0.0029415019477407136,0.0029084511722127595,603.1079118220756,deeponet,adam
15,256,16,5e-05,1,n/a,0.005516197221974532,0.005687504230688016,0.005641421458373467,437.0900273170943,deeponet,adam
16,256,16,5e-05,2,n/a,0.0024494188061604896,0.002655745561545094,0.002623516290138165,478.6635361692558,deeponet,adam
17,256,16,5e-05,4,n/a,0.002366093685850501,0.002636366756632924,0.0025975517152498164,538.0082797066619,deeponet,adam
18,256,16,0.0001,1,n/a,0.0052395301560560865,0.0054009150092800455,0.005372005359580119,487.8470111039157,deeponet,adam
19,256,16,0.0001,2,n/a,0.002422387789313992,0.0026359070713321366,0.002609635548045238,488.78860689109814,deeponet,adam
20,256,16,0.0001,4,n/a,0.002322499950726827,0.002582260795558492,0.0025846410232285657,648.2066236399114,deeponet,adam
21,256,16,0.0005,1,n/a,0.004908022781213124,0.005069107127686341,0.005048324043552081,315.2305593214308,deeponet,adam
22,256,16,0.0005,2,n/a,0.0034740304884811244,0.003733295714482665,0.003697811005016168,185.1019835161666,deeponet,adam
23,256,16,0.0005,4,n/a,0.004177031107246876,0.004668186418712139,0.004630578216165304,187.01298579604676,deeponet,adam
24,256,32,1e-05,1,n/a,0.007954158820211887,0.008119385999937853,0.00814204290509224,448.7811245828246,deeponet,adam
25,256,32,1e-05,2,n/a,0.0022986380693813166,0.0024775522761046886,0.002463758379841844,463.758599995325,deeponet,adam
26,256,32,1e-05,4,n/a,0.002552738335604469,0.0028157430545737347,0.0027987458743155003,551.1705503823856,deeponet,adam
27,256,32,5e-05,1,n/a,0.00517738734682401,0.00535231859733661,0.005332294075439374,466.7988534756005,deeponet,adam
28,256,32,5e-05,2,n/a,0.0019875679863616824,0.0021477642779548964,0.002136555112277468,485.7238271854197,deeponet,adam
29,256,32,5e-05,4,n/a,0.0022538712558647,0.002503510331735015,0.0024836675729602575,605.8850857028738,deeponet,adam
30,256,32,0.0001,1,n/a,0.004388079978525639,0.004546441448231538,0.004521116769562165,486.9804241952176,deeponet,adam
31,256,32,0.0001,2,n/a,0.0019847624159107604,0.00215656659565866,0.0021371321442226567,504.588806541947,deeponet,adam
32,256,32,0.0001,4,n/a,0.0022005699574947357,0.0024471883662045,0.0024367927884062133,612.5841352446005,deeponet,adam
33,256,32,0.0005,1,n/a,0.003747807815670967,0.0038788224725673595,0.003861629171296954,431.64915900335956,deeponet,adam
34,256,32,0.0005,2,n/a,0.0028323665416489043,0.003052203760792812,0.00303099708010753,226.04582945319513,deeponet,adam
35,256,32,0.0005,4,n/a,0.004066036160414417,0.004523127029339473,0.004526058677583933,207.8174254493788,deeponet,adam
36,512,8,1e-05,1,n/a,0.021559090663989384,0.021505738298098247,0.02118712229033311,432.3325826112802,deeponet,adam
37,512,8,1e-05,2,n/a,0.020773426940043766,0.020662761603792507,0.020329812541604042,549.9387019276619,deeponet,adam
38,512,8,1e-05,4,n/a,0.020734262342254322,0.02062687339882056,0.020292291417717934,814.4891039797416,deeponet,adam
39,512,8,5e-05,1,n/a,0.02135213278234005,0.02128121443092823,0.0209576611717542,440.8385545394073,deeponet,adam
40,512,8,5e-05,2,n/a,0.02076105959713459,0.020651891827583313,0.02031649462878704,568.7076174349835,deeponet,adam
41,512,8,5e-05,4,n/a,0.02081490618487199,0.02071637660264969,0.020387332886457443,366.1000339379534,deeponet,adam
42,512,8,0.0001,1,n/a,0.021244666228691738,0.02116694673895836,0.020840358609954517,394.5683342050761,deeponet,adam
43,512,8,0.0001,2,n/a,0.02083977808554967,0.020741344739993412,0.020410867407917976,297.7480313129102,deeponet,adam
44,512,8,0.0001,4,n/a,0.021047738070289295,0.020970527082681656,0.020638837789495785,248.01907778345048,deeponet,adam
45,512,8,0.0005,1,n/a,0.02180659770965576,0.021738293891151745,0.021441705524921417,184.90732837592563,deeponet,adam
46,512,8,0.0005,2,n/a,0.02129187559088071,0.021220641831556957,0.020892756059765816,154.9192503526186,deeponet,adam
47,512,8,0.0005,4,n/a,0.02143969014286995,0.02145898963014285,0.021145805716514587,114.77348906050126,deeponet,adam
48,512,16,1e-05,1,n/a,0.006437004543840885,0.006650256148229043,0.0066310012092192965,427.82175610680133,deeponet,adam
49,512,16,1e-05,2,n/a,0.002270427610104283,0.002481988398358226,0.002458623688047131,660.8624137345081,deeponet,adam
50,512,16,1e-05,4,n/a,0.00204130409595867,0.0023136778424183526,0.0022936759050935507,774.2465483431394,deeponet,adam
51,512,16,5e-05,1,n/a,0.005067985504865646,0.005261735369761785,0.005236389891554912,465.3304962857316,deeponet,adam
52,512,16,5e-05,2,n/a,0.0020610743667930365,0.0022666926961392164,0.0022530225105583668,533.6281606856113,deeponet,adam
53,512,16,5e-05,4,n/a,0.0018290167208760977,0.0020919091378649077,0.0020859097906698785,764.497546717835,deeponet,adam
54,512,16,0.0001,1,n/a,0.004780533257871866,0.004974110672871272,0.004948458323876063,412.88146340008825,deeponet,adam
55,512,16,0.0001,2,n/a,0.0021416114177554846,0.0023553521217157445,0.0023353759509821734,463.5906401121368,deeponet,adam
56,512,16,0.0001,4,n/a,0.0024611102417111397,0.0028049986188610396,0.0027800710716595254,408.14931201965857,deeponet,adam
57,512,16,0.0005,1,n/a,0.0054388657833139105,0.0056373874346415205,0.005608457140624523,264.4782927101478,deeponet,adam
