,layer_width,n_modes,regularization_scale,n_layers,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
0,256,8,1e-10,1,0.022241042512164817,0.022305191815497945,0.02194102115082408,6.040622324682772,deeponet,swim
1,256,8,1e-10,2,0.08396783074143509,0.08736008253213291,0.08594863315092338,5.850321857569118,deeponet,swim
2,256,8,1e-10,4,0.11154442508579476,0.11567684416064768,0.11325204522693905,5.513469846298297,deeponet,swim
3,256,8,1e-08,1,0.022234121985691968,0.022266211564499202,0.02193694014092799,4.881009773972134,deeponet,swim
4,256,8,1e-08,2,0.08802213822416823,0.09199417350417083,0.08999283221625594,5.678983449935913,deeponet,swim
5,256,8,1e-08,4,0.10267964790883248,0.10630941426038061,0.10422836123266689,4.701238404649,deeponet,swim
6,256,8,1e-06,1,0.025259123248767935,0.025357742816630686,0.024929541141795037,4.448395682498813,deeponet,swim
7,256,8,1e-06,2,0.08549919824316486,0.08909557962039154,0.0874482079866844,4.710129550347726,deeponet,swim
8,256,8,1e-06,4,0.11121301326957365,0.11447360838123721,0.11174412016332641,5.189237279507021,deeponet,swim
9,256,16,1e-10,1,0.010101358849797801,0.010592207169668582,0.010473274233778786,4.989166588212053,deeponet,swim
10,256,16,1e-10,2,0.09368433919501871,0.09703917230866592,0.09632063718329804,4.699632916599512,deeponet,swim
11,256,16,1e-10,4,0.09611077509700172,0.10003743020314138,0.0975001441019826,5.018754169965784,deeponet,swim
12,256,16,1e-08,1,0.0100751002434531,0.010543091955625953,0.010413584572547685,5.77994967220972,deeponet,swim
13,256,16,1e-08,2,0.08677076520807643,0.09004473419827035,0.08931713356012543,4.791174001681308,deeponet,swim
14,256,16,1e-08,4,0.103166433218472,0.10734215189061974,0.10477392224068167,4.666815538269778,deeponet,swim
15,256,16,1e-06,1,0.016071575616326227,0.0165846067189371,0.016354560969851578,5.434642810684939,deeponet,swim
16,256,16,1e-06,2,0.08737556968750466,0.09099254260137764,0.09011012552475349,5.08734102298816,deeponet,swim
17,256,16,1e-06,4,0.11911422961658225,0.12242653309520446,0.12017681209270518,4.754758481246729,deeponet,swim
18,256,32,1e-10,1,0.010089592319340217,0.010573760022785934,0.010414020636441994,4.443088851869106,deeponet,swim
19,256,32,1e-10,2,0.08800367633240301,0.09196237006410436,0.09084824375432739,5.629305940121412,deeponet,swim
20,256,32,1e-10,4,0.10312575489267756,0.10679518483451682,0.10509348210801371,4.806815633550286,deeponet,swim
21,256,32,1e-08,1,0.010245637751709093,0.010757093143961229,0.010609192740425143,4.95407385006547,deeponet,swim
22,256,32,1e-08,2,0.0884204574224867,0.09211362517023315,0.09127013710790083,5.2291340449204045,deeponet,swim
23,256,32,1e-08,4,0.10392837231276679,0.10796644238600944,0.10552210553026188,4.789595150699218,deeponet,swim
24,256,32,1e-06,1,0.01625565311753308,0.016718683200395417,0.016513878764723846,4.660157449853917,deeponet,swim
25,256,32,1e-06,2,0.09140418693140422,0.09609171510154785,0.09394162361681024,4.893006181033949,deeponet,swim
26,256,32,1e-06,4,0.1206690440679773,0.12461771392812726,0.12199335310513017,4.708305826721092,deeponet,swim
27,512,8,1e-10,1,0.02094606657909151,0.020889149121257323,0.020553374277411825,5.9092489229515195,deeponet,swim
28,512,8,1e-10,2,0.05037179319077154,0.05409429366233695,0.05312233415709602,4.511702183013161,deeponet,swim
29,512,8,1e-10,4,0.07427953889693117,0.07922893864119189,0.07767545848785751,5.98071180904905,deeponet,swim
30,512,8,1e-08,1,0.021001193300903026,0.02095463999090429,0.02061573912276354,5.1568184510494275,deeponet,swim
31,512,8,1e-08,2,0.053942513586372094,0.05818066898625956,0.05719046736815526,5.734535005564491,deeponet,swim
32,512,8,1e-08,4,0.08000285718520271,0.08481170054811686,0.08262734019877647,5.952935208566487,deeponet,swim
33,512,8,1e-06,1,0.02275473519323347,0.02281330361710969,0.022472473838576406,5.063949353372057,deeponet,swim
34,512,8,1e-06,2,0.051130120696925276,0.05482216370635914,0.0540400302009742,5.281274554009239,deeponet,swim
35,512,8,1e-06,4,0.09522021537745497,0.10069564962003474,0.09796321226126285,5.940896994744738,deeponet,swim
36,512,16,1e-10,1,0.004927350164684569,0.005464162847699512,0.005333500818045611,6.329792716540396,deeponet,swim
37,512,16,1e-10,2,0.04866629463912517,0.0533106677102784,0.05237692857711738,5.696597683553894,deeponet,swim
38,512,16,1e-10,4,0.07460903292983086,0.0794178781024358,0.07849836261478998,6.440646809525788,deeponet,swim
39,512,16,1e-08,1,0.0053135646673815986,0.005827070161605133,0.005719171440209603,6.058372753982742,deeponet,swim
40,512,16,1e-08,2,0.0499563437721616,0.054818690887226414,0.05387310645605883,5.6467230798055725,deeponet,swim
41,512,16,1e-08,4,0.08303583641264738,0.08802386089615262,0.08658556161040232,7.461891017854214,deeponet,swim
42,512,16,1e-06,1,0.011161244119719823,0.011740288779783857,0.011484821882214986,5.935140428754191,deeponet,swim
43,512,16,1e-06,2,0.04852567557576847,0.05347006589926006,0.05252005787841882,6.388586933414142,deeponet,swim
44,512,16,1e-06,4,0.09801380167953212,0.10317265515780517,0.10079999377626069,5.939370019050936,deeponet,swim
45,512,32,1e-10,1,0.0049567509677374355,0.005473192053990032,0.005382035921265787,5.9018633076921105,deeponet,swim
46,512,32,1e-10,2,0.04774098559658504,0.052183998317281495,0.05161896799513951,5.6023282160361605,deeponet,swim
47,512,32,1e-10,4,0.08143804400165322,0.08693998893040551,0.08572689932943746,7.25063067022711,deeponet,swim
48,512,32,1e-08,1,0.005303485614990913,0.005805243195355546,0.005721783927302433,5.846751623166104,deeponet,swim
49,512,32,1e-08,2,0.050250074299293235,0.055176854408540726,0.05406399139002998,6.245350280155738,deeponet,swim
50,512,32,1e-08,4,0.0851020439421849,0.09100147937413679,0.08925242677202692,6.006300318365295,deeponet,swim
51,512,32,1e-06,1,0.01115757806761729,0.011682255371814776,0.01146550608550411,4.874224872638782,deeponet,swim
52,512,32,1e-06,2,0.05035322644120049,0.05536669956681284,0.05437548959685435,5.204194486451645,deeponet,swim
53,512,32,1e-06,4,0.09670870828247997,0.10149520950053041,0.0998941213267976,4.937719875946641,deeponet,swim
54,1024,8,1e-10,1,0.020677469076682997,0.02056701763738474,0.02023311440018163,5.716017828633388,deeponet,swim
55,1024,8,1e-10,2,0.02470702852010882,0.0262223188956921,0.025819784827067746,8.341956487235924,deeponet,swim
56,1024,8,1e-10,4,0.04857369227134308,0.05456431403928077,0.05430091685622498,11.094902146607637,deeponet,swim
57,1024,8,1e-08,1,0.02072578423432562,0.0206329723039905,0.020303467589563088,4.9983359680821495,deeponet,swim
58,1024,8,1e-08,2,0.025568857441697058,0.02728355816300894,0.02691520155244906,6.17982725892216,deeponet,swim
59,1024,8,1e-08,4,0.06054426497912793,0.06761411289436808,0.06646748468801349,9.686768139402071,deeponet,swim
60,1024,8,1e-06,1,0.021551840908596655,0.02157199109409441,0.021237983839040315,7.779766251022617,deeponet,swim
61,1024,8,1e-06,2,0.031194396034378315,0.03378539055356132,0.03336230064046181,7.365370714105666,deeponet,swim
62,1024,8,1e-06,4,0.08131506803503412,0.08793497340933447,0.08594076310246586,6.827279027551413,deeponet,swim
63,1024,16,1e-10,1,0.002118954552113315,0.002630014162534316,0.002608317242892479,5.541750394739211,deeponet,swim
64,1024,16,1e-10,2,0.015343416167105274,0.018581516164009586,0.018275343079157107,6.684872855742772,deeponet,swim
65,1024,16,1e-10,4,0.04888537280756385,0.056349115002245466,0.05555659955763805,9.39413715340197,deeponet,swim
66,1024,16,1e-08,1,0.0028388892051249143,0.0033860197416305405,0.0032924357933627295,5.820394319482148,deeponet,swim
67,1024,16,1e-08,2,0.016446535051266958,0.01984120009171932,0.019547693041030448,8.697586683245996,deeponet,swim
68,1024,16,1e-08,4,0.05722104814299648,0.06456911273311422,0.06357139665923082,7.128317890378336,deeponet,swim
69,1024,16,1e-06,1,0.007140961393990467,0.007634404356453149,0.007547054811259119,7.895039091818035,deeponet,swim
70,1024,16,1e-06,2,0.025859376933060577,0.029642281931517286,0.029346106822317575,5.877830899320543,deeponet,swim
71,1024,16,1e-06,4,0.08048523908184939,0.087619345891629,0.08580722878085072,6.418905920038621,deeponet,swim
72,1024,32,1e-10,1,0.0020909752510139237,0.002631048532506543,0.0026017683938684985,6.00009498031189,deeponet,swim
73,1024,32,1e-10,2,0.014959751708690941,0.018011137945254642,0.017816166297214938,5.919514551758766,deeponet,swim
74,1024,32,1e-10,4,0.04844846510087472,0.05565474550850399,0.05543337386617231,10.007440571983656,deeponet,swim
75,1024,32,1e-08,1,0.002800167576681859,0.0033417509417057365,0.0032718828946230786,5.928381907132764,deeponet,swim
76,1024,32,1e-08,2,0.016605192916599492,0.019980992846887105,0.019581113378119724,6.806070704013109,deeponet,swim
77,1024,32,1e-08,4,0.054444399531399484,0.06144082694856901,0.06073910729488097,8.52582036703825,deeponet,swim
78,1024,32,1e-06,1,0.007287166156439599,0.00783144535813215,0.007726451289574772,6.103098158103724,deeponet,swim
79,1024,32,1e-06,2,0.025388821893618824,0.029059232670911175,0.028854470340522343,7.110112626105547,deeponet,swim
80,1024,32,1e-06,4,0.08552219457491779,0.09292649455088962,0.09125728312631319,8.157586662719646,deeponet,swim
81,2048,8,1e-10,1,0.020647130656312806,0.020511634545124443,0.02017394459579015,7.674801301832001,deeponet,swim
82,2048,8,1e-10,2,0.020824703932353427,0.020998697120494656,0.020660937551253665,11.353015196199218,deeponet,swim
83,2048,8,1e-10,4,0.03704485497974449,0.046295754192319495,0.04575315375041683,14.518348621825377,deeponet,swim
84,2048,8,1e-08,1,0.020657382818799426,0.020540179170887286,0.020205888943620187,15.925431177020073,deeponet,swim
85,2048,8,1e-08,2,0.02144049881784792,0.02202508507349213,0.021694189769985033,10.626921014860272,deeponet,swim
86,2048,8,1e-08,4,0.05323560793904388,0.06123031957786149,0.06100555819572964,13.092502976146838,deeponet,swim
87,2048,8,1e-06,1,0.02090437432040504,0.020881625870584133,0.020561374175308695,11.594260092514256,deeponet,swim
88,2048,8,1e-06,2,0.02429930781311512,0.025767588125877972,0.025426510379460976,8.499945878051221,deeponet,swim
89,2048,8,1e-06,4,0.08677958491673303,0.0945076086243205,0.09278124434410322,15.499391761608422,deeponet,swim
90,2048,16,1e-10,1,0.0008884541992407029,0.0013119819152999244,0.001320960203811035,9.916740192721287,deeponet,swim
91,2048,16,1e-10,2,0.003599013197375656,0.005366881553809985,0.005261295469183196,10.870124496830007,deeponet,swim
92,2048,16,1e-10,4,0.030978076909879564,0.04194979259474626,0.04154555124599565,10.157520371799668,deeponet,swim
93,2048,16,1e-08,1,0.0013557156023305905,0.0018388754018588496,0.0018335506514307138,9.582608560721079,deeponet,swim
94,2048,16,1e-08,2,0.006451941200806396,0.008685013732721637,0.008554458702201596,16.497517202670377,deeponet,swim
95,2048,16,1e-08,4,0.050528892859893,0.06027531133627065,0.05930563433343899,13.420239926626286,deeponet,swim
96,2048,16,1e-06,1,0.004083780162643429,0.0046902559848238665,0.0046229941243588315,11.901181250500182,deeponet,swim
97,2048,16,1e-06,2,0.01394268160059871,0.01668671646150077,0.016549851805177925,7.4366898102064924,deeponet,swim
98,2048,16,1e-06,4,0.08430484445925479,0.09216663367290324,0.089679829349456,15.41616268021365,deeponet,swim
99,2048,32,1e-10,1,0.0008078624835687704,0.0013291449216081815,0.001341186054257429,11.279664178689321,deeponet,swim
100,2048,32,1e-10,2,0.0036590424892538223,0.005449524205046863,0.005392099839529364,9.233370998874307,deeponet,swim
101,2048,32,1e-10,4,0.031734198116783637,0.04285129411829507,0.04232728110673045,13.909294619535407,deeponet,swim
102,2048,32,1e-08,1,0.0013233653132583099,0.0018692948291602427,0.0018509589364052992,13.86210519541055,deeponet,swim
103,2048,32,1e-08,2,0.006611729269438676,0.008937602572670856,0.008814724875053111,11.703463857372602,deeponet,swim
104,2048,32,1e-08,4,0.05263310914183809,0.06202903308012856,0.06116386838998745,14.666759502763549,deeponet,swim
105,2048,32,1e-06,1,0.0040780806502467406,0.004711498934104869,0.004651282411367502,10.1884898962453,deeponet,swim
106,2048,32,1e-06,2,0.013472058281598661,0.016284859811455842,0.016115745591132418,9.225160717964172,deeponet,swim
107,2048,32,1e-06,4,0.08755856008223,0.09624031398508738,0.09339308589405966,11.211977393676838,deeponet,swim
108,4096,8,1e-10,1,0.02064500508989044,0.020506156932261894,0.020166970066499312,19.71108957690497,deeponet,swim
109,4096,8,1e-10,2,0.020657006906725516,0.02064311055944089,0.020308341903822413,23.004081242407363,deeponet,swim
110,4096,8,1e-10,4,0.02748280402913091,0.037137321691522174,0.036536083455207535,27.17583531079193,deeponet,swim
111,4096,8,1e-08,1,0.020646151981293073,0.020522262380062568,0.02018580316144739,21.54509702262779,deeponet,swim
112,4096,8,1e-08,2,0.02074304926937304,0.02085851692658487,0.020526082105723244,23.59161514012764,deeponet,swim
113,4096,8,1e-08,4,0.03985963677391727,0.04928640058747082,0.04838496310988103,27.95366048719734,deeponet,swim
114,4096,8,1e-06,1,0.020670805240111743,0.02060157695880548,0.020275567716439798,21.14658708622058,deeponet,swim
115,4096,8,1e-06,2,0.021559666779698367,0.021965956680271365,0.021653253403499342,23.13047654554248,deeponet,swim
116,4096,8,1e-06,4,0.07493803770894113,0.08238024933288052,0.08076405899191193,27.877720062931377,deeponet,swim
117,4096,16,1e-10,1,0.0005352000394560943,0.0008340342143673562,0.0008517167054697379,20.61314356792718,deeponet,swim
118,4096,16,1e-10,2,0.0010412417128982249,0.002360912557279086,0.002341464801083743,24.65844068583101,deeponet,swim
119,4096,16,1e-10,4,0.018687055191552237,0.03226261270139929,0.03170846659417295,27.90575296493868,deeponet,swim
120,4096,16,1e-08,1,0.0006646991093052011,0.001088647722536983,0.0010980289617352483,22.047966337452333,deeponet,swim
121,4096,16,1e-08,2,0.002210735408616471,0.003750194136577923,0.003733355545979178,23.962407196561497,deeponet,swim
122,4096,16,1e-08,4,0.03616001127866536,0.04811451196909757,0.04732279594553993,27.394128194078803,deeponet,swim
123,4096,16,1e-06,1,0.0014319393740139595,0.002089527586592986,0.0021028922962063015,21.72236101826032,deeponet,swim
124,4096,16,1e-06,2,0.006378065788170433,0.007987272102986146,0.007895351075170176,24.723654503313202,deeponet,swim
125,4096,16,1e-06,4,0.07423735829391012,0.08166423918465893,0.08045482751582829,27.166090733682115,deeponet,swim
126,4096,32,1e-10,1,0.0003060241004764129,0.0008623685131116933,0.0008906590453801019,21.643374510109425,deeponet,swim
127,4096,32,1e-10,2,0.0009226717572104092,0.0024003092672980945,0.0023938085069546288,23.855053329840302,deeponet,swim
128,4096,32,1e-10,4,0.01951193969548999,0.034164708938343766,0.03394355061541753,27.923228077280026,deeponet,swim
129,4096,32,1e-08,1,0.0004976973957267734,0.0010838115759235006,0.001086432869661856,22.339508736816544,deeponet,swim
130,4096,32,1e-08,2,0.002205082788827516,0.0038138245805461363,0.0037973259465951784,24.374833205714822,deeponet,swim
131,4096,32,1e-08,4,0.03821112415273991,0.0500430142085223,0.049693010849196285,26.870205543003976,deeponet,swim
132,4096,32,1e-06,1,0.0013684481564039581,0.00209443484773467,0.0020962913482485248,22.615987949073315,deeponet,swim
133,4096,32,1e-06,2,0.00663401852553636,0.008280222354690702,0.008205380840351236,23.680519212037325,deeponet,swim
134,4096,32,1e-06,4,0.0738426056354763,0.08257182330967015,0.08046038607212547,27.070130631948512,deeponet,swim
