,architecture,input_dim,layer_width,n_layers,batch_size,learning_rate,n_epochs,patience,print_every,weight_decay,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
0,fcn,256,4098,1,64,0.0005,2000,100,1,0.0,0.014501809997733579,0.014569135309497404,0.014553067921253077,185.5740922112018,627472908
1,fcn,256,512,1,64,0.0005,2000,100,1,0.0,0.013143956028752695,0.013263871951333755,0.01311175038601199,205.96184542402625,664167458
2,fcn,256,1024,1,64,0.0005,2000,100,1,0.0,0.009374673674960898,0.009499099929571366,0.009481500188107244,394.2202981719747,734199840
3,fcn,256,256,1,64,5e-05,2000,100,1,0.0,0.010550385307224713,0.010684889665626142,0.010608258473105264,689.3268688870594,852907158
4,fcn,256,2048,4,64,5e-05,2000,100,1,0.0,0.004876354506338453,0.005061917294732406,0.0050317612755594295,1748.9388394504786,679727560
5,fcn,256,1024,2,64,5e-05,2000,100,1,0.0,0.004686663325592131,0.004801471850117167,0.004764238238438782,557.9022428793833,537118242
6,fcn,256,4098,4,64,0.0001,2000,100,1,0.0,0.01993854511931005,0.019875499073662865,0.01964987532992652,1967.0617665406317,451347655
7,fcn,256,2048,4,64,0.0005,2000,100,1,0.0,0.046888475810193266,0.04739721839809156,0.046040268188512715,300.81555419787765,429869690
8,fcn,256,1024,1,64,0.0001,2000,100,1,0.0,0.010378189518278957,0.010529234453157753,0.010425393761698567,389.721865337342,48737262
9,fcn,256,4098,4,64,5e-05,2000,100,1,0.0,0.00945444091740351,0.009619855471129103,0.009498767199491673,2639.814470349811,828745914
10,fcn,256,512,4,64,5e-05,2000,100,1,0.0,0.005464300385718929,0.005614017878017963,0.005558407551032009,519.738780066371,389161531
11,fcn,256,256,1,64,0.0005,2000,100,1,0.0,0.013548835947609751,0.013677065324681553,0.013560643401051611,290.2260712077841,558620573
12,fcn,256,256,2,64,5e-05,2000,100,1,0.0,0.006465206338570039,0.006646912970243168,0.0065493065485733365,686.0670197736472,377476640
13,fcn,256,512,2,64,0.0001,2000,100,1,0.0,0.008030420778312765,0.008170811772412951,0.008127732205359024,238.08882236480713,686459052
14,fcn,256,1024,1,64,5e-05,2000,100,1,0.0,0.010297704132719203,0.010424136655004506,0.010359667751813108,422.92866883799434,114708869
15,fcn,256,1024,4,64,5e-05,2000,100,1,0.0,0.003596133982238106,0.003764660520395174,0.0037593839373327854,994.6267746686935,668779669
16,fcn,256,256,4,64,5e-05,2000,100,1,0.0,0.006573493114417687,0.006723568432900993,0.006654846547681157,683.9688101224601,879324712
17,fcn,256,4098,4,64,0.0005,2000,100,1,0.0,0.18266561451227564,0.18199744350436128,0.18210813458408254,937.5631565609947,502860342
18,fcn,256,4098,1,64,0.0005,2000,100,1,0.0,0.013136072358875869,0.013276832556061595,0.013178134178486513,253.36056779045612,290309996
19,fcn,256,2048,1,64,0.0001,2000,100,1,0.0,0.01262061486973979,0.012714696388371761,0.012701762813057328,244.1413304405287,685552738
20,fcn,256,512,4,64,5e-05,2000,100,1,0.0,0.005538776693071324,0.005699978503915359,0.005619889352338266,566.183617961593,409460253
21,fcn,256,2048,4,64,5e-05,2000,100,1,0.0,0.0051996254648432475,0.005375550931875946,0.005327522232289072,1614.5221677366644,971602556
22,fcn,256,2048,1,64,5e-05,2000,100,1,0.0,0.01017936757349837,0.010371419790292071,0.010296534173172923,423.14511090517044,306962014
23,fcn,256,512,2,64,5e-05,2000,100,1,0.0,0.0038904248505770745,0.004001258026981218,0.0039927210804484295,866.0901975398883,86352864
24,fcn,256,256,2,64,0.0001,2000,100,1,0.0,0.006331285771475727,0.006471336873592481,0.00641537441022682,545.1215803837404,350739894
25,fcn,256,4098,2,64,0.0001,2000,100,1,0.0,0.004993504649829388,0.005112155728810155,0.005083960672387462,1792.94750962127,168900504
26,fcn,256,2048,2,64,5e-05,2000,100,1,0.0,0.005387544991775423,0.005497341106634821,0.005464538852429129,810.1367479972541,524207738
27,fcn,256,256,2,64,5e-05,2000,100,1,0.0,0.005906958963230501,0.006026569452242294,0.005959755193523427,752.7752100331709,589455636
28,fcn,256,2048,1,64,0.0001,2000,100,1,0.0,0.011023058691342987,0.011207659880621983,0.011173400310441966,316.18407174851745,992838348
29,fcn,256,512,1,64,0.0001,2000,100,1,0.0,0.010721078728229194,0.010762700999178296,0.010765062962992674,401.8653119113296,78712120
30,fcn,256,256,1,64,5e-05,2000,100,1,0.0,0.01181512974382948,0.011914373415903902,0.011890198252287255,525.6042017759755,869142762
31,fcn,256,512,4,64,0.0005,2000,100,1,0.0,0.009153041052340246,0.009507422192690872,0.00940925457398223,406.1743130274117,787955108
32,fcn,256,4098,2,64,5e-05,2000,100,1,0.0,0.004937391997211331,0.005033308046527648,0.005007644663279375,2279.0701018571854,230135827
33,fcn,256,256,4,64,0.0005,2000,100,1,0.0,0.009867436496059994,0.010083099396078097,0.010012114726697625,311.94249089434743,1586786
34,fcn,256,1024,4,64,0.0005,2000,100,1,0.0,0.04353253027820147,0.043652774614834036,0.04303740624724115,100.52355921361595,887774458
35,fcn,256,1024,1,64,5e-05,2000,100,1,0.0,0.010267033609909297,0.01039747059119463,0.010331832993402573,431.57886979635805,487720650
36,fcn,256,4098,2,64,0.0005,2000,100,1,0.0,0.03683987655226274,0.03684230279782308,0.0366910851592156,400.94927853439003,895800797
37,fcn,256,1024,2,64,0.0001,2000,100,1,0.0,0.004873311009593062,0.004993642630534661,0.0049617876552178405,370.702085359022,512939678
38,fcn,256,512,1,64,5e-05,2000,100,1,0.0,0.010049089667011868,0.010172628382109052,0.010115180280939013,558.3219374231994,403912458
39,fcn,256,4098,1,64,0.0001,2000,100,1,0.0,0.011072637679968706,0.011317760252532625,0.011135818039743423,397.77590578142554,6450620
40,fcn,256,1024,2,64,0.0005,2000,100,1,0.0,0.00794551726314373,0.008127553973745658,0.008092016680446438,252.55091104935855,932314056
41,fcn,256,1024,4,64,0.0001,2000,100,1,0.0,0.0048408606685793314,0.005015780927721343,0.004959114007854873,643.8219566941261,12229694
42,fcn,256,2048,1,64,0.0005,2000,100,1,0.0,0.012070400383602435,0.012154304982198848,0.012179484703969802,208.74085165467113,277402082
43,fcn,256,2048,2,64,0.0005,2000,100,1,0.0,0.015023211846896792,0.015189377888491293,0.01502401739159839,221.26860506739467,577554339
44,fcn,256,2048,1,64,0.0005,2000,100,1,0.0,0.013202882732205481,0.013336203157418059,0.013228970927488029,170.0919628450647,793997171
45,fcn,256,512,2,64,0.0001,2000,100,1,0.0,0.0059818053213078985,0.0061244793753019635,0.006049394906007628,385.82992883212864,842800453
46,fcn,256,256,4,64,0.0001,2000,100,1,0.0,0.006204597849721196,0.0063740453585805715,0.006303563146012147,582.0073638409376,577244817
47,fcn,256,1024,4,64,0.0001,2000,100,1,0.0,0.005885704273061305,0.00605101788994444,0.00602534511276267,592.0105610014871,605173670
48,fcn,256,4098,1,64,5e-05,2000,100,1,0.0,0.01077754538780431,0.010919618634238359,0.010895135902995333,483.0792483445257,970059646
49,fcn,256,4098,4,64,0.0001,2000,100,1,0.0,0.01423893659736011,0.01440360529688608,0.01423369551186764,4275.45332785137,277379899
50,fcn,256,1024,2,64,5e-05,2000,100,1,0.0,0.003709709552618508,0.0038474824136603115,0.0038222091095993687,801.8631343841553,460881177
51,fcn,256,1024,2,64,0.0001,2000,100,1,0.0,0.0057181045988867404,0.005876274437673656,0.005810637975646597,318.40585246589035,93185550
52,fcn,256,512,2,64,5e-05,2000,100,1,0.0,0.005857129048456691,0.006023680796660601,0.005965025972184085,464.88757220096886,216221102
53,fcn,256,1024,1,64,0.0001,2000,100,1,0.0,0.010895222753687483,0.011052766561404087,0.011034510053322925,346.73538187146187,801544607
54,fcn,256,256,1,64,0.0001,2000,100,1,0.0,0.01191913479322672,0.012088483374233214,0.012078235950630878,385.77361874468625,200877626
55,fcn,256,256,4,64,5e-05,2000,100,1,0.0,0.005373401437763797,0.005533799907419344,0.0054690204168133146,894.6870321156457,896800412
56,fcn,256,256,2,64,0.0001,2000,100,1,0.0,0.007717505530041217,0.007885441837087323,0.007822426170744433,381.3334509162232,910010143
57,fcn,256,256,1,64,0.0001,2000,100,1,0.0,0.011130537704679132,0.0111988823591684,0.011218695227269425,434.5408708527684,334098557
58,fcn,256,256,1,64,0.0005,2000,100,1,0.0,0.012065730418556879,0.012135886024697982,0.01210257711088327,378.51071544736624,80009690
