,layer_width,regularization_scale,n_layers,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
0,256,1e-10,1,0.013926780235174888,0.014599622011010048,0.014449160231962327,0.32629216896990937,fcn,swim
1,256,1e-10,2,0.029577780992295032,0.030586006778201624,0.03041440407920004,0.4550653708477815,fcn,swim
2,256,1e-10,4,0.08746112135399094,0.09028626919465528,0.08823213835088915,0.8221675480405489,fcn,swim
3,256,1e-08,1,0.013471313704501326,0.014047039357370386,0.013972496357247505,0.4097218010574579,fcn,swim
4,256,1e-08,2,0.029384587969091724,0.030299917469722836,0.03010019696065988,0.439603619898359,fcn,swim
5,256,1e-08,4,0.08829409779522139,0.09085324334860996,0.08931058238294647,0.6877453144018849,fcn,swim
6,256,1e-06,1,0.013387971338633843,0.01393794432280917,0.013884059308829187,0.3052693751330177,fcn,swim
7,256,1e-06,2,0.028193593504763664,0.029052829796039348,0.028937671222221868,0.4898982473338644,fcn,swim
8,256,1e-06,4,0.08917706976583732,0.09173706296057592,0.08974689318889872,0.667244965210557,fcn,swim
9,512,1e-10,1,0.00581786005805728,0.006447646476817551,0.006386295103112411,0.6511145553862056,fcn,swim
10,512,1e-10,2,0.015895858443110995,0.017269075505048876,0.01707418833584499,0.8893146673217416,fcn,swim
11,512,1e-10,4,0.06893811802520355,0.07336925778395263,0.07204767640708758,1.306107117794454,fcn,swim
12,512,1e-08,1,0.006028431515234023,0.006712153536699926,0.006629449524916962,0.6959159995118777,fcn,swim
13,512,1e-08,2,0.014951609083803144,0.016174381655928178,0.0160078601308343,0.9323899584511915,fcn,swim
14,512,1e-08,4,0.06753360120097292,0.07118692695679385,0.07023460877169406,1.3362615729371707,fcn,swim
15,512,1e-06,1,0.006092404212433025,0.0067546054253476385,0.006689551848144681,0.625864593933026,fcn,swim
16,512,1e-06,2,0.015284946808032893,0.016553477257874497,0.016375312628130672,0.9350879651804765,fcn,swim
17,512,1e-06,4,0.07344026889977538,0.07753612877094603,0.07582039594872149,1.2490229966739814,fcn,swim
18,1024,1e-10,1,0.002489164682577511,0.003131911999398247,0.0031048442187742178,1.3911190178866188,fcn,swim
19,1024,1e-10,2,0.007201512464178828,0.00870694838762504,0.008619011141718482,1.8904686405633886,fcn,swim
20,1024,1e-10,4,0.04716531614521511,0.05396076751870967,0.05307800730989066,2.7525260920325914,fcn,swim
21,1024,1e-08,1,0.00248891086048352,0.0031187208788316934,0.00310462214448796,1.4567737343410652,fcn,swim
22,1024,1e-08,2,0.0072275471613628605,0.00869799177751621,0.008632034888656005,1.8441113599886496,fcn,swim
23,1024,1e-08,4,0.04785031786429969,0.054643031384249585,0.053851564880055484,2.4546733809014163,fcn,swim
24,1024,1e-06,1,0.0029162141238581424,0.0035758604282393543,0.0035606133505858995,1.3841772206748526,fcn,swim
25,1024,1e-06,2,0.009458664006355548,0.010961938184331154,0.010901280090061737,1.714611267670989,fcn,swim
26,1024,1e-06,4,0.06653408165322348,0.0721412510175863,0.07070321139747945,2.393940893933177,fcn,swim
27,2048,1e-10,1,0.0008357037063775166,0.001419772469718998,0.0014186870381525283,3.7459983117878437,fcn,swim
28,2048,1e-10,2,0.0029721901868786705,0.004579625591154431,0.004577263464151194,4.213982853728036,fcn,swim
29,2048,1e-10,4,0.02723475609164273,0.03843434481571422,0.0377588671813549,6.074656863386433,fcn,swim
30,2048,1e-08,1,0.0008652082948572972,0.0014455637565322713,0.001447544977519551,3.966406981150309,fcn,swim
31,2048,1e-08,2,0.0031124615954745785,0.004755225318520462,0.004671737231216544,4.460696512522797,fcn,swim
32,2048,1e-08,4,0.0362297692140997,0.04647275339558451,0.0457650279088514,5.992206605151296,fcn,swim
33,2048,1e-06,1,0.0017065236679931995,0.0023928951212260382,0.002402849463154524,3.7379752434790134,fcn,swim
34,2048,1e-06,2,0.0068249268986564,0.00849305425334366,0.00842422252446814,4.252243600785732,fcn,swim
35,2048,1e-06,4,0.0658099406837891,0.07300969024321143,0.07118645078635057,5.887384474587937,fcn,swim
36,4096,1e-10,1,0.00027301576271104145,0.000887973252869054,0.0009154577584231599,20.015505258304376,fcn,swim
37,4096,1e-10,2,0.0009250620213795861,0.0025865618539640425,0.002588614931575877,22.968531865937013,fcn,swim
38,4096,1e-10,4,0.01692098254402945,0.03310271794257432,0.032376098781685625,27.750573478018243,fcn,swim
39,4096,1e-08,1,0.00042989891373853206,0.0010314547348565675,0.0010556123565569429,20.080953159679968,fcn,swim
40,4096,1e-08,2,0.0019664166206620243,0.0037137759997789414,0.0036793827081229823,23.144928046812613,fcn,swim
41,4096,1e-08,4,0.03267826979833506,0.04459207477962413,0.04383350790201098,26.099419980309904,fcn,swim
42,4096,1e-06,1,0.001164803442789791,0.0018799633703600954,0.0018971280998364537,20.0179035620143,fcn,swim
43,4096,1e-06,2,0.0056805565808123884,0.007390363672557218,0.007287632822829728,22.91460573921601,fcn,swim
44,4096,1e-06,4,0.06636324443922118,0.07439967130031652,0.0728217349847063,26.058425559662282,fcn,swim
