,architecture,layer_width,n_hidden_channels,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
0,fno_swim,512,16,4,16,1e-06,0.006141388303581299,0.007000164546729495,0.007048240959791793,53.58741237409413,313845528
1,fno_swim,4096,16,1,8,1e-10,0.00027495091337501705,0.0009000014815830765,0.0009391943929307969,189.61527813971043,260678252
2,fno_swim,4096,16,1,8,1e-08,0.00045002847570621145,0.001064147417323354,0.0010910500972171144,188.27486472018063,906857215
3,fno_swim,4096,16,1,8,1e-06,0.0012640952471923892,0.0020895122789822964,0.0020875792073969603,185.9202987132594,277531680
4,fno_swim,4096,32,1,8,1e-10,0.0002762728809102677,0.0009099083367822025,0.000943924864895101,362.90251211542636,997135158
5,fno_swim,4096,32,1,8,1e-08,0.0004598838408827232,0.0011253867889521839,0.001140202393273236,371.4644294716418,81276114
6,fno_swim,4096,32,1,8,1e-06,0.001147417824450073,0.0018654950195130967,0.0018780196094394987,367.2115953536704,785686268
7,fno_swim,4096,16,1,16,1e-10,0.0002795109918866802,0.0009195371213491234,0.0009454288429654996,191.81940109841526,610029199
8,fno_swim,4096,16,1,16,1e-08,0.00043405256367306806,0.0010437109771976472,0.001062151424379096,189.0506777325645,613932832
9,fno_swim,4096,16,1,16,1e-06,0.0011762403331761753,0.00191466766768762,0.001914899038487175,191.00521831121296,574158411
10,fno_swim,256,16,2,8,1e-08,0.013751605711800435,0.01449901770069681,0.01439184148447203,14.628798926249146,841963515
11,fno_swim,4096,32,1,16,1e-10,0.00027742314324842105,0.0009023682764383611,0.0009355109963716274,372.09414002206177,528994312
12,fno_swim,4096,32,1,16,1e-08,0.00043571106346834075,0.0010459977351502622,0.0010646543720007708,374.3674170440063,488218918
13,fno_swim,4096,32,1,16,1e-06,0.0012249616406318424,0.0019676005812672343,0.00198012351153754,372.6420296318829,539516655
14,fno_swim,4096,16,1,32,1e-10,0.0002779596336642883,0.000915628007225722,0.0009569626367730304,194.69768989179283,656810416
15,fno_swim,4096,16,1,32,1e-08,0.00042432651490445104,0.0010197788437658587,0.0010347215034868379,191.13757399842143,654274909
16,fno_swim,4096,16,1,32,1e-06,0.0012204732061531344,0.0020423176227094514,0.0020302993857950814,193.32650288846344,867810387
17,fno_swim,4096,32,1,32,1e-10,0.0002741342156597962,0.0008998678049315568,0.0009226813394673292,375.22204710543156,75829331
18,fno_swim,4096,32,1,32,1e-08,0.0004572683573826117,0.0010936080021933217,0.0011141301892930529,377.5810900134966,898740793
19,fno_swim,4096,32,1,32,1e-06,0.0011702711359885532,0.0019177147633346813,0.001894363002689834,377.4044464128092,481393442
20,fno_swim,4096,16,2,8,1e-10,0.00029470458370786683,0.0009782990984011245,0.0010036691929797108,380.57251474726945,875767813
21,fno_swim,2048,32,2,8,1e-06,0.001647726766109428,0.0023363638900821336,0.0023301492809902438,228.00494968611747,827981079
22,fno_swim,4096,16,2,8,1e-08,0.00044057577244769485,0.001076606509105386,0.0011009922573632098,377.3770291041583,10369568
23,fno_swim,4096,16,2,8,1e-06,0.0013608006841929945,0.0023700027769502086,0.0023604180888453343,380.0243479879573,196711858
24,fno_swim,4096,32,2,8,1e-10,0.00027628530299560157,0.0009046684208333465,0.0009323924037561218,745.7780810622498,321826804
25,fno_swim,4096,32,2,8,1e-08,0.00043363465099387254,0.001060097222106988,0.0010701950970087235,748.7366701206192,265159853
26,fno_swim,4096,32,2,8,1e-06,0.0011808083031804673,0.0018947349195343071,0.001900587792257306,751.598532971926,950688099
27,fno_swim,4096,16,2,16,1e-10,0.00027934877930840514,0.0009148764172638777,0.000943400907129238,386.1077338969335,10100460
28,fno_swim,4096,16,2,16,1e-08,0.00044819303058937077,0.0010885999829250736,0.0011004586783662578,386.09166613128036,938393394
29,fno_swim,4096,16,2,16,1e-06,0.0012730331460262014,0.0021484813340253233,0.00214124395009464,385.38556795567274,877722667
30,fno_swim,4096,32,2,16,1e-10,0.00027412283580091726,0.0009058958161912864,0.0009367060831069552,764.1680769072846,506554336
31,fno_swim,4096,32,2,16,1e-08,0.0004586628743397435,0.0010884020261265615,0.001092573729917209,762.8249911526218,676191841
32,fno_swim,2048,16,1,8,1e-10,0.0008318527148663308,0.0014320492383033917,0.001439218117215431,55.41058166511357,169739620
33,fno_swim,4096,32,2,16,1e-06,0.0012030252474441382,0.0019332292572072107,0.001936568725951472,760.5478206938133,809633010
34,fno_swim,4096,16,2,32,1e-10,0.0002915579593040654,0.0009685952103666639,0.000985309210202293,390.9037138838321,123169217
35,fno_swim,4096,16,2,32,1e-08,0.0004501220813142591,0.0010773567290675327,0.0010889480299218826,389.856529135257,141697856
36,fno_swim,4096,16,2,32,1e-06,0.0011509927287633589,0.0018630367048166451,0.0018693689881269513,392.12966929376125,567629888
37,fno_swim,4096,32,2,32,1e-10,0.00027750424518242284,0.0009159632895320493,0.0009466290004331618,776.8982033161446,968567116
38,fno_swim,4096,32,2,32,1e-08,0.0004337485830112313,0.0010446831914403092,0.0010729295973609385,769.7705233525485,520263208
39,fno_swim,4096,32,2,32,1e-06,0.0011834176435869999,0.0018978868576253708,0.0019086767280228414,768.849485126324,304352655
