,layer_width,n_modes,learning_rate,n_layers,batch_size,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,architecture,method
0,256,8,1e-05,1,64,0.017287941443305564,0.01789867457059312,0.017874460268207257,1999.0793497913207,in_fourier,adam
1,256,8,1e-05,2,64,0.01150223897952636,0.019354601437798574,0.018816088781433014,2580.2173020665846,in_fourier,adam
2,256,8,1e-05,4,64,0.013613291345980669,0.029995808231117208,0.029825763636910464,3057.0288905818015,in_fourier,adam
3,256,8,5e-05,1,64,0.004557936606763271,0.004805545619905523,0.004781142120130685,1944.894386540167,in_fourier,adam
4,256,8,5e-05,2,64,0.003219960946884554,0.004380735720978648,0.004347685024357651,2433.9404701525345,in_fourier,adam
5,256,8,5e-05,4,64,0.0051559779024255735,0.013664160475784072,0.013539929572088508,3165.408878918737,in_fourier,adam
6,256,8,0.0001,1,64,0.00401638858859858,0.004204087299283186,0.004187658102488621,1895.9117311624188,in_fourier,adam
7,256,8,0.0001,2,64,0.0036552894475321337,0.00498211879475,0.004941002464156515,2051.251812915007,in_fourier,adam
8,256,8,0.0001,4,64,0.00519929617267267,0.012629730645372565,0.013589303876095154,2623.837740971396,in_fourier,adam
9,256,8,0.0005,1,64,0.006298931714124046,0.006509783789353856,0.006464609996689705,467.0850362976392,in_fourier,adam
10,256,8,0.0005,2,64,0.01140404517177058,0.020258432762067517,0.020097487264249675,669.653910641869,in_fourier,adam
11,256,8,0.0005,4,64,0.020226464844916466,0.040636276181736423,0.039872645789154545,437.24999831368524,in_fourier,adam
12,256,16,1e-05,1,64,0.014424820982137298,0.014728800931174438,0.014688433412061329,1866.7860169544194,in_fourier,adam
13,256,16,1e-05,2,64,0.006418482520706009,0.0085998465577405,0.008514393826013085,2534.8815488911546,in_fourier,adam
14,256,16,1e-05,4,64,0.00815577152425283,0.013959769312051847,0.014025869921304257,3195.739944226419,in_fourier,adam
15,256,16,5e-05,1,64,0.004848484562833621,0.005086799004366763,0.005047851397338644,1987.225298665464,in_fourier,adam
16,256,16,5e-05,2,64,0.0028427198097284723,0.0036071348618276888,0.003564278006622429,2430.3153973724693,in_fourier,adam
17,256,16,5e-05,4,64,0.0040057074572929195,0.00740085748085459,0.006885377784537509,2663.256354564801,in_fourier,adam
18,256,16,0.0001,1,64,0.004059066817811784,0.004258577850597433,0.0042285562148673015,1745.2166969673708,in_fourier,adam
19,256,16,0.0001,2,64,0.003906338366626095,0.004867742383873057,0.0048018755142728645,1355.5879769676055,in_fourier,adam
20,256,16,0.0001,4,64,0.005354010859815721,0.009677727118089124,0.009343615069122962,1718.7033035655816,in_fourier,adam
21,256,16,0.0005,1,64,0.0068513310519595335,0.0070845430953157705,0.007033303463485949,391.16528445637476,in_fourier,adam
22,256,16,0.0005,2,64,0.009134208708937648,0.011903225079771396,0.012048183555527926,613.2083784394587,in_fourier,adam
23,256,16,0.0005,4,64,0.017380864272102742,0.027904496973964132,0.027611320908279113,509.87930632568896,in_fourier,adam
24,256,32,1e-05,1,64,0.014753270077149473,0.015044306152336926,0.014955014855627745,2124.9632415237525,in_fourier,adam
25,256,32,1e-05,2,64,0.004993808064449329,0.005984237077326833,0.005933649353796954,2440.452786781825,in_fourier,adam
26,256,32,1e-05,4,64,0.005439854225409928,0.0071686028750608645,0.007209233344796409,3056.0848700127876,in_fourier,adam
27,256,32,5e-05,1,64,0.0048272926779368425,0.0050664115428682025,0.005032528530627179,2069.2273276013634,in_fourier,adam
28,256,32,5e-05,2,64,0.003607282477893847,0.004287648670206918,0.00426161604172583,1679.966974212167,in_fourier,adam
29,256,32,5e-05,4,64,0.004416628093396783,0.006034726837909611,0.0060919825861038696,1875.404066536886,in_fourier,adam
30,256,32,0.0001,1,64,0.004362771093679323,0.004538052059238471,0.0045391817585372736,1728.1228251988068,in_fourier,adam
31,256,32,0.0001,2,64,0.004143868229605697,0.004995163929578078,0.004947688441441992,1296.9252008426313,in_fourier,adam
32,256,32,0.0001,4,64,0.005408768017785211,0.007935977316201328,0.007924457434059555,1203.813955356367,in_fourier,adam
33,256,32,0.0005,1,64,0.006270401106630018,0.006447733669273946,0.006421552579562037,555.4435123571506,in_fourier,adam
34,256,32,0.0005,2,64,0.009722918838813046,0.011907960698279459,0.012158581974661948,558.1954576810822,in_fourier,adam
35,256,32,0.0005,4,64,0.017355083274570946,0.023550681345367867,0.02336679718997746,400.7496656989679,in_fourier,adam
36,512,8,1e-05,1,64,0.013428590125553627,0.014771961574722816,0.014682700909492188,1939.8690517349169,in_fourier,adam
37,512,8,1e-05,2,64,0.005295413012313988,0.030255791105042392,0.029302861437515648,2681.73573856242,in_fourier,adam
38,512,8,1e-05,4,64,0.008536684496621072,0.04492011950091721,0.042266351378928424,3141.5195272170627,in_fourier,adam
39,512,8,5e-05,1,64,0.003390896231358147,0.0037354780656973525,0.003713307217526166,1825.6752970529099,in_fourier,adam
40,512,8,5e-05,2,64,0.0031108649214316437,0.02690566113243618,0.025803317442364523,2484.495873661091,in_fourier,adam
41,512,8,5e-05,4,64,0.003911833262805941,0.03512550841139126,0.03396813129777787,3190.562650125163,in_fourier,adam
42,512,8,0.0001,1,64,0.003318133581507043,0.0036006452088723838,0.0035902357164552794,1541.0336394095793,in_fourier,adam
43,512,8,0.0001,2,64,0.005449347147663597,0.0324184034292511,0.031412777812165595,931.7474211500958,in_fourier,adam
44,512,8,0.0001,4,64,0.007533691031170176,0.04098852822760652,0.04000542278807298,969.9737402908504,in_fourier,adam
45,512,8,0.0005,1,64,0.005729763973196344,0.0060562861930664865,0.006024524942802475,427.3154095343004,in_fourier,adam
46,512,8,0.0005,2,64,0.02244129943590728,0.04983136064074711,0.04829673904184145,173.9304424248015,in_fourier,adam
47,512,8,0.0005,4,64,0.03439283059383561,0.06862861635811889,0.0668054165895002,183.2755867637073,in_fourier,adam
48,512,16,1e-05,1,64,0.010325283291367676,0.010939980744741395,0.010925906695246625,1931.8642500126734,in_fourier,adam
49,512,16,1e-05,2,64,0.003714875481562055,0.014666184298345838,0.014308868622064258,2514.3345188060775,in_fourier,adam
50,512,16,1e-05,4,64,0.005616770695190038,0.02514864084003732,0.025490699595292165,2954.295575515367,in_fourier,adam
51,512,16,5e-05,1,64,0.003698147143250507,0.0039965140567409544,0.003980641567986235,1975.6440788836528,in_fourier,adam
52,512,16,5e-05,2,64,0.0026500717999468717,0.011910373086517427,0.01160119505069992,2352.7995590890446,in_fourier,adam
53,512,16,5e-05,4,64,0.0037805233912099737,0.021220190501972085,0.020874506074452386,2535.0330091376477,in_fourier,adam
54,512,16,0.0001,1,64,0.003736235757600049,0.0040266358964138015,0.0040074517131897846,1295.2445999402553,in_fourier,adam
55,512,16,0.0001,2,64,0.0037656865082644716,0.014308157680079668,0.014196381547477559,1410.4681146861985,in_fourier,adam
56,512,16,0.0001,4,64,0.006781704109434777,0.02610851993426717,0.02440684123366223,867.1530259142941,in_fourier,adam
57,512,16,0.0005,1,64,0.005804433691841942,0.006054385643653235,0.005997986388908807,433.3245052515219,in_fourier,adam
58,512,16,0.0005,2,64,0.01902362718221137,0.03257047053670261,0.03177408956264693,194.54983292644224,in_fourier,adam
59,512,16,0.0005,4,64,0.025665417053965234,0.05073593241252956,0.050021555331975276,224.1196986157447,in_fourier,adam
60,512,32,1e-05,1,64,0.010435914257445757,0.010821520078482484,0.010808654185378326,2129.7059135340774,in_fourier,adam
61,512,32,1e-05,2,64,0.0027773407312448027,0.0064410729572333845,0.006363028110553855,2456.788078373298,in_fourier,adam
62,512,32,1e-05,4,64,0.00418992993107532,0.014461769263949582,0.014481231641559062,3085.6239762265855,in_fourier,adam
63,512,32,5e-05,1,64,0.0038909057996417916,0.004167439572565135,0.00415855134783942,1880.3307122743379,in_fourier,adam
64,512,32,5e-05,2,64,0.0021018230508952377,0.004242384457588919,0.004195205577084206,2514.1947293902435,in_fourier,adam
65,512,32,5e-05,4,64,0.003580759274531522,0.01188254327570726,0.011688057078775379,2380.715031486315,in_fourier,adam
66,512,32,0.0001,1,64,0.003989721212469942,0.004277828224521495,0.004231848778419813,1252.6424713566278,in_fourier,adam
67,512,32,0.0001,2,64,0.0034015636535568044,0.005940313675131336,0.006020181233738093,1429.1415941414114,in_fourier,adam
68,512,32,0.0001,4,64,0.006359379345557793,0.01763292087724377,0.016806233758291406,892.3749875137582,in_fourier,adam
69,512,32,0.0005,1,64,0.005500785660503206,0.005713201689859955,0.005683694314193927,601.6570936863621,in_fourier,adam
70,512,32,0.0005,2,64,0.015097426526148922,0.022356067653442096,0.021836951952254612,221.12854653162262,in_fourier,adam
71,512,32,0.0005,4,64,0.027041223311500367,0.04186329364876256,0.041261247920474774,203.75790485180914,in_fourier,adam
72,1024,8,1e-05,1,64,0.01241421352949218,0.015535895071357874,0.015525124078356408,2081.536755349487,in_fourier,adam
73,1024,8,1e-05,2,64,0.00220058088779391,0.04637340934153946,0.044845787151730765,2508.294871715208,in_fourier,adam
74,1024,8,1e-05,4,64,0.005079137141980397,0.06361718997400628,0.06145233983322882,4429.213994696115,in_fourier,adam
75,1024,8,5e-05,1,64,0.0029571805226388703,0.0035986910634260294,0.0036009751489361717,1933.8365143913154,in_fourier,adam
76,1024,8,5e-05,2,64,0.004160099166777452,0.04473154593327359,0.043434604589447944,1370.6515389978886,in_fourier,adam
77,1024,8,5e-05,4,64,0.00810059026936758,0.06359348373768361,0.06192257617173627,1209.916692417736,in_fourier,adam
78,1024,8,0.0001,1,64,0.003003872318630802,0.003564358195957993,0.0035419583224323425,1508.1784016567592,in_fourier,adam
79,1024,8,0.0001,2,64,0.007435197700485413,0.045981189236439825,0.044313220074118385,523.9053685792411,in_fourier,adam
80,1024,8,0.0001,4,64,0.01566858674978824,0.06760957104312267,0.06508423426144423,451.7960932375863,in_fourier,adam
81,1024,8,0.0005,1,64,0.005432877640707001,0.0060179739000336095,0.005977743312894417,500.9978086495151,in_fourier,adam
82,1024,8,0.0005,2,64,0.026928373001079444,0.056019937532755616,0.054737038592475064,195.82695037933686,in_fourier,adam
83,1024,8,0.0005,4,64,0.03518021561933815,0.07904549967145379,0.07726589779769778,335.4913222262015,in_fourier,adam
84,1024,16,1e-05,1,64,0.008615879498886649,0.009819342292545179,0.009805634089877181,2192.654906324111,in_fourier,adam
85,1024,16,1e-05,2,64,0.0018635277586386068,0.02590670977176664,0.025360908272531638,2822.7344061952704,in_fourier,adam
86,1024,16,1e-05,4,64,0.003960772917613931,0.0383447311683608,0.03767985442975437,4033.4266767014437,in_fourier,adam
87,1024,16,5e-05,1,64,0.0029993204398130846,0.003420380612919173,0.003415466586497049,1970.5815517967567,in_fourier,adam
88,1024,16,5e-05,2,64,0.0037521245485269065,0.02652475836894443,0.025991815956817946,1046.581918596911,in_fourier,adam
89,1024,16,5e-05,4,64,0.0070115482127705965,0.03903205650259802,0.03904023810479782,1006.9089210356275,in_fourier,adam
90,1024,16,0.0001,1,64,0.002968320972020612,0.003324947940749569,0.003296846433383882,1725.1168132970731,in_fourier,adam
91,1024,16,0.0001,2,64,0.006536327160733997,0.027600981135779912,0.02692638052303942,529.8412757593518,in_fourier,adam
92,1024,16,0.0001,4,64,0.011740314987862646,0.0446512232031664,0.042971519349068454,467.8281397294874,in_fourier,adam
93,1024,16,0.0005,1,64,0.006309719308300109,0.006686907741625628,0.006650899205247925,420.7396732006843,in_fourier,adam
94,1024,16,0.0005,2,64,0.02579202022467722,0.03897344699527119,0.03836907577066665,178.06801198391864,in_fourier,adam
95,1024,16,0.0005,4,64,0.04013247529780106,0.06730030737934672,0.06688395537539504,284.2070723442982,in_fourier,adam
