,architecture,input_dim,layer_width,n_layers,n_modes,regularization_scale,train_rel_l2,val_rel_l2,test_rel_l2,time_spent,seed
0,in_fourier_swim,256,256,1,32,1e-10,0.011610715429086687,0.012138944962538815,0.011929174322595543,0.2616676986217499,268298867
1,in_fourier_swim,256,512,1,32,1e-06,0.01747744874555419,0.01811307512199785,0.017720994467367593,0.4295813497155905,969794286
2,in_fourier_swim,256,4096,1,32,1e-08,0.0009134084849724411,0.001670943239104075,0.0016852697315065772,16.15379824396223,293739147
3,in_fourier_swim,256,4096,4,16,1e-06,0.10025012518329553,0.1099835168722188,0.10791007138359884,21.145745255053043,423305435
4,in_fourier_swim,256,2048,1,8,1e-08,0.002471881890693743,0.003104512586992704,0.0030662497129234165,2.645188949070871,955554116
5,in_fourier_swim,256,1024,2,16,1e-08,0.025679289457635843,0.029404533785386405,0.029055806434171556,1.4554483024403453,104637315
6,in_fourier_swim,256,256,4,16,1e-08,0.15029597797868083,0.15665225300113952,0.1532163187906818,0.6092927707359195,440389955
7,in_fourier_swim,256,256,4,32,1e-10,0.16947478888525216,0.17292457586783067,0.1711850104323587,0.5992996618151665,179701141
8,in_fourier_swim,256,512,2,32,1e-06,0.06970113242784945,0.07489108060761006,0.07476111262799484,0.6750967279076576,377066840
9,in_fourier_swim,256,4096,2,32,1e-08,0.0038509418855593746,0.005688222717245821,0.0056312023482072695,16.978960503824055,779437265
10,in_fourier_swim,256,2048,2,16,1e-06,0.029070752419531477,0.03334933354594951,0.03317480122289235,3.333581479266286,53846280
11,in_fourier_swim,256,1024,1,32,1e-06,0.012812418758883962,0.013556362286441104,0.013222660494481085,1.0567530831322074,312019075
12,in_fourier_swim,256,512,1,8,1e-10,0.005352859553869012,0.00589236302883868,0.005806192747550407,0.3767043286934495,166561645
13,in_fourier_swim,256,2048,4,8,1e-10,0.03961498320730911,0.05226429676621928,0.0513818927452704,4.73441831022501,74487632
14,in_fourier_swim,256,2048,2,8,1e-10,0.007931508162461513,0.010607943730959904,0.01051382840280284,3.355678469873965,76354542
15,in_fourier_swim,256,1024,4,16,1e-10,0.07294762813331064,0.08405798905211025,0.08249033029869737,2.060515897348523,815069050
16,in_fourier_swim,256,256,1,8,1e-08,0.0114023372981418,0.011900673421492189,0.011748590604582314,0.20794854033738375,98660637
17,in_fourier_swim,256,2048,1,32,1e-10,0.0011645812874941446,0.0017748473667664427,0.0017644124078160601,3.041999353095889,118434760
18,in_fourier_swim,256,512,1,16,1e-08,0.006686384678156209,0.007213789259076378,0.007075001629478604,0.41016287449747324,950733065
19,in_fourier_swim,256,4096,2,32,1e-06,0.011625940020983976,0.01373157920494708,0.013581516228144741,17.492055452428758,217851847
20,in_fourier_swim,256,256,1,16,1e-08,0.011342574722784736,0.011900543895698813,0.011699729161615274,0.2684064330533147,483929133
21,in_fourier_swim,256,1024,1,8,1e-06,0.012640601393453254,0.013222282950541318,0.012915941407034351,0.906015619635582,277374522
22,in_fourier_swim,256,1024,2,8,1e-08,0.0275665870975204,0.03162316742914391,0.031435917130061594,1.4313769554719329,184922960
23,in_fourier_swim,256,256,4,8,1e-08,0.19190867291301603,0.1965460590834946,0.19371727994697654,0.5026470376178622,239643426
24,in_fourier_swim,256,512,4,8,1e-08,0.08475241163215329,0.09051999739010055,0.08896125389872708,1.023231121711433,883221352
25,in_fourier_swim,256,256,2,32,1e-06,0.12211150046755863,0.12714614671374677,0.12478409499179345,0.36574065778404474,122682290
26,in_fourier_swim,256,4096,1,8,1e-08,0.0010465985562714928,0.0016378977702595024,0.0016390755076963353,14.65203412156552,961233632
27,in_fourier_swim,256,4096,1,8,1e-10,0.0007263087492638235,0.001129506195902296,0.001154763974996074,14.746393903158605,895942426
28,in_fourier_swim,256,4096,4,32,1e-10,0.026036783235833576,0.040045732723789786,0.040157671454778464,20.93167129624635,292821019
29,in_fourier_swim,256,4096,1,8,1e-10,0.0007189163425399664,0.0011118925340685294,0.0011400144693396108,14.825334963388741,711891313
30,in_fourier_swim,256,2048,4,16,1e-08,0.06572612244110719,0.07577403934202437,0.07427178109139893,5.450394496321678,744498181
31,in_fourier_swim,256,512,4,16,1e-10,0.09780064386701097,0.10476270752463365,0.10243192742000788,1.175453770905733,988598584
32,in_fourier_swim,256,1024,2,8,1e-10,0.017800946466850615,0.021215070898611625,0.020915199762879862,1.590232377871871,34232895
33,in_fourier_swim,256,256,2,16,1e-08,0.12076369924550293,0.12567351867079737,0.12497087553203617,0.3304992411285639,954381924
34,in_fourier_swim,256,1024,2,32,1e-10,0.017712060924420174,0.02086369758240753,0.02052840462103903,1.5763185732066631,607695178
35,in_fourier_swim,256,512,4,16,1e-10,0.09409240576315132,0.10010641031611192,0.0984011770160483,1.071482409723103,376523739
36,in_fourier_swim,256,256,1,16,1e-06,0.020694643541996054,0.021238681467791017,0.020879595693001473,0.22998517379164696,815032873
37,in_fourier_swim,256,4096,4,32,1e-08,0.052680116038543424,0.0646334890193046,0.064098194612266,20.444384237751365,653419045
38,in_fourier_swim,256,1024,4,16,1e-08,0.07081380811210547,0.07824365528571874,0.07703075382836823,2.0508239483460784,547887561
39,in_fourier_swim,256,2048,4,16,1e-10,0.04264522900436149,0.05503321589397759,0.05380152280961225,5.268395073711872,12988729
40,in_fourier_swim,256,256,1,32,1e-06,0.02119014467269232,0.02172221600455796,0.02136493357175401,0.22953735012561083,418701996
41,in_fourier_swim,256,256,4,8,1e-08,0.12217983830622138,0.12780605629465777,0.12391032248512054,0.5159318950027227,926836708
42,in_fourier_swim,256,4096,1,32,1e-08,0.000910994838550996,0.0016832177865538393,0.00167538606457495,15.519289025105536,732604717
43,in_fourier_swim,256,512,1,16,1e-06,0.017443892175801796,0.018018639774577773,0.017660982505070352,0.48455504700541496,207336683
44,in_fourier_swim,256,2048,4,16,1e-10,0.039770681508891646,0.051372817121794735,0.05118467540635542,5.158682927489281,535547335
45,in_fourier_swim,256,512,4,8,1e-10,0.10119605718669401,0.1082696475079178,0.10655230465598019,1.0785555066540837,519818243
46,in_fourier_swim,256,256,4,8,1e-10,0.1441328719158071,0.14796122802527104,0.14704245410805872,0.5991007760167122,598580745
47,in_fourier_swim,256,256,2,32,1e-06,0.12947194097680007,0.1346955305859378,0.133685559648256,0.3347964193671942,665363625
48,in_fourier_swim,256,2048,2,32,1e-08,0.01436036198498213,0.017856041142536545,0.017520393766340032,3.5296999691054225,506666990
49,in_fourier_swim,256,2048,4,16,1e-08,0.06113907303271145,0.07024371572498367,0.06977871052374263,5.066487327218056,8845228
50,in_fourier_swim,256,2048,4,8,1e-08,0.06139229700779803,0.07160641903489223,0.07074824972302554,4.681202541105449,616895608
51,in_fourier_swim,256,256,2,32,1e-10,0.13240474696264934,0.13858472024030663,0.13600667261049526,0.34435557574033737,477914657
52,in_fourier_swim,256,512,2,32,1e-06,0.07169560952100441,0.07793649891075703,0.07769728141327846,0.7831007037311792,854523802
53,in_fourier_swim,256,512,2,8,1e-08,0.062173849279089005,0.0674856929745336,0.06631945396043229,0.5730334343388677,955977386
54,in_fourier_swim,256,2048,2,16,1e-10,0.007832698427565857,0.010268637369433106,0.010160547220560399,3.453758961521089,883242476
55,in_fourier_swim,256,4096,4,32,1e-10,0.02670818116902482,0.042261557342818376,0.040803237189808536,20.144543779082596,470642114
56,in_fourier_swim,256,4096,1,8,1e-08,0.0010867111613602713,0.001718448025670813,0.0017065284592773166,15.435998033732176,542153018
57,in_fourier_swim,256,512,2,16,1e-08,0.07222462955223641,0.07956873018583048,0.07770091121698541,0.7010572347790003,935761044
58,in_fourier_swim,256,2048,4,32,1e-08,0.06538061071189478,0.07611375902405607,0.07474722886391304,4.9859509048983455,384874883
59,in_fourier_swim,256,256,1,16,1e-06,0.020299555598727696,0.020802911880690108,0.020382751974670845,0.2259000362828374,710021245
60,in_fourier_swim,256,4096,4,32,1e-08,0.054154316745926176,0.06734056660855749,0.0662579733384847,20.43780829384923,744144537
61,in_fourier_swim,256,2048,1,32,1e-10,0.0011550424659541108,0.0017558619060081455,0.0017893087915662011,2.779410949908197,413696038
62,in_fourier_swim,256,1024,2,16,1e-08,0.026910273532074806,0.03092198450386248,0.03082824206298524,1.319783890619874,922809668
63,in_fourier_swim,256,512,1,16,1e-06,0.017673490256121874,0.0182675801625191,0.017852560638261024,0.5440642554312944,156279145
64,in_fourier_swim,256,2048,1,32,1e-08,0.0023844524839205902,0.003061497357702727,0.003027143207179926,2.9728117315098643,224898865
65,in_fourier_swim,256,2048,2,8,1e-10,0.008086150515516003,0.010645350924449067,0.010610134425880933,3.3355648536235094,897862161
66,in_fourier_swim,256,256,4,32,1e-10,0.1930274428740896,0.19903325489223986,0.19528144861529162,0.5484193917363882,159570599
67,in_fourier_swim,256,4096,4,16,1e-10,0.025863506060877662,0.04031389719949172,0.03988740850703191,22.65035069361329,670489648
68,in_fourier_swim,256,4096,4,8,1e-08,0.05712690137213833,0.07031459952928744,0.06938387517614726,21.37191614229232,636610108
69,in_fourier_swim,256,512,2,8,1e-10,0.05856164369735947,0.0641764786624536,0.06278463509135512,0.5913595156744123,108315649
70,in_fourier_swim,256,512,2,8,1e-06,0.06184482944761238,0.06652563393447512,0.06577478463379939,0.590072994120419,782760944
71,in_fourier_swim,256,4096,4,32,1e-10,0.028280908332300122,0.04401943831454605,0.04369124490914999,20.21929057687521,49412897
72,in_fourier_swim,256,4096,1,16,1e-08,0.0009200055095721515,0.0016635546276569625,0.0016963966001860215,14.774665731936693,935782568
73,in_fourier_swim,256,512,2,8,1e-06,0.06474369032901657,0.07030506622048002,0.06890262879502491,0.7959785265848041,923023885
74,in_fourier_swim,256,4096,1,16,1e-08,0.0009145808902351009,0.0016819345964188977,0.0016952256790710599,15.116624154150486,129903557
75,in_fourier_swim,256,512,1,32,1e-06,0.01754199597289048,0.01809481569145699,0.017742515682337076,0.4316544132307172,660848952
76,in_fourier_swim,256,2048,2,8,1e-08,0.01483887016305508,0.018167515762593473,0.017877054539354256,3.1796273197978735,90233598
77,in_fourier_swim,256,1024,1,16,1e-06,0.012806440642891206,0.01352081879928966,0.013227239129643275,0.9209483508020639,264841096
78,in_fourier_swim,256,256,1,8,1e-06,0.020868192925294814,0.02122963235916689,0.020931270642616136,0.2190164141356945,858026167
79,in_fourier_swim,256,4096,1,32,1e-06,0.0026779756198947817,0.0035881233203785604,0.003571302519023534,15.72241273894906,104853324
80,in_fourier_swim,256,1024,1,8,1e-08,0.00455125905482153,0.005159753034594824,0.00503060346846374,0.852333378046751,200842565
81,in_fourier_swim,256,512,4,32,1e-08,0.11264160185615885,0.12025087384237705,0.11771573849107,1.0771589828655124,757375628
82,in_fourier_swim,256,1024,2,16,1e-10,0.01714004938593758,0.020221334029558065,0.019792279997682894,1.3208907572552562,157816711
83,in_fourier_swim,256,256,2,16,1e-08,0.133057349805375,0.13830893047923845,0.13783029421961468,0.3110616644844413,590287575
84,in_fourier_swim,256,256,2,8,1e-06,0.13004594651375687,0.1347747291893651,0.13312411177541172,0.3017247710376978,700687392
85,in_fourier_swim,256,4096,1,32,1e-06,0.0025246330962404658,0.003454979516409509,0.0034436648546902985,15.67522718012333,662685768
86,in_fourier_swim,256,4096,2,32,1e-10,0.0014959266537243388,0.003191128779456398,0.0031723755697616895,17.518629535101354,110425664
87,in_fourier_swim,256,2048,4,32,1e-06,0.09751895234706658,0.10745503491287707,0.10509471065584046,5.014001324772835,472978019
88,in_fourier_swim,256,256,4,32,1e-10,0.1259328249293744,0.13136414343520142,0.12961175676966782,0.537805556319654,309816214
89,in_fourier_swim,256,512,1,8,1e-08,0.006705491034851508,0.007182617954515076,0.0071182076916585235,0.3771661538630724,594905687
90,in_fourier_swim,256,4096,2,16,1e-06,0.011540501248151081,0.013736129553673692,0.01362055513234704,16.971204203553498,265079866
91,in_fourier_swim,256,4096,2,32,1e-08,0.004081323980732647,0.006059139463965266,0.006036606232233881,17.130947002209723,291490855
92,in_fourier_swim,256,256,2,16,1e-10,0.13274123747821726,0.136620684878663,0.13791834659580118,0.32270965725183487,9580681
93,in_fourier_swim,256,2048,2,8,1e-08,0.014456317733152393,0.01769254682697211,0.01750656105585055,3.166128075681627,208842408
94,in_fourier_swim,256,4096,2,8,1e-08,0.004028971279732826,0.005967079309891048,0.0058800791525931186,16.502517418935895,152154875
95,in_fourier_swim,256,256,1,16,1e-10,0.010794153597110332,0.011334587105449814,0.011140568289047218,0.20826415345072746,845680363
96,in_fourier_swim,256,512,4,8,1e-06,0.14385038843042555,0.15163485110276562,0.1485812747525596,1.1221387572586536,305948330
97,in_fourier_swim,256,1024,2,16,1e-10,0.0174978742046125,0.020879585299357198,0.020425066351113276,1.4488960430026054,383342197
98,in_fourier_swim,256,4096,2,16,1e-08,0.003807352227551331,0.005708853838567294,0.00563134637851743,17.317788905464113,245275964
99,in_fourier_swim,256,2048,4,32,1e-10,0.0387173884973823,0.04962851360617936,0.049088248364357434,5.5423990450799465,355632621
100,in_fourier_swim,256,1024,2,32,1e-08,0.02749154680426362,0.031898442932927325,0.031629136555696845,1.6890137623995543,441549079
101,in_fourier_swim,256,512,1,8,1e-06,0.017796801037457,0.018410889922776914,0.01814722398576336,0.35832863114774227,732226480
102,in_fourier_swim,256,2048,4,16,1e-08,0.05812745909968799,0.06687880194934676,0.06642756554974251,5.666129015386105,796157148
103,in_fourier_swim,256,1024,4,32,1e-08,0.08750075540556274,0.09710273359711918,0.0949431401178272,2.15168272331357,78319515
104,in_fourier_swim,256,2048,1,16,1e-10,0.0011532452672107854,0.0017594068656237116,0.0017594635631966087,2.438420602120459,126020632
105,in_fourier_swim,256,2048,1,16,1e-08,0.002513161410568439,0.0031789281665099956,0.0031467030981948713,3.0945038590580225,229354731
106,in_fourier_swim,256,256,4,32,1e-08,0.14442785055712068,0.14904612104588127,0.14761651731566272,0.5673790806904435,624215525
107,in_fourier_swim,256,4096,2,8,1e-06,0.011245466753154652,0.01341725300914542,0.013246691510893195,16.306306696496904,84168110
108,in_fourier_swim,256,4096,4,8,1e-06,0.0958031610779931,0.1058210760576211,0.10247154275844135,19.858260232955217,795096100
109,in_fourier_swim,256,1024,4,8,1e-06,0.12996460562853876,0.13984324229517817,0.13643320402859122,2.0879151728004217,62941545
110,in_fourier_swim,256,512,1,16,1e-10,0.00551425106810552,0.006088339137030739,0.00600560995173692,0.4558163518086076,916463674
111,in_fourier_swim,256,2048,4,32,1e-06,0.10586959713989905,0.11744110024955041,0.11517104308176583,5.347589190118015,835469530
112,in_fourier_swim,256,1024,4,16,1e-06,0.10612832277816545,0.11453228271542046,0.11079701464765294,2.02484835870564,50440616
113,in_fourier_swim,256,512,4,32,1e-08,0.10867759694337985,0.1176358349367824,0.11498710319662232,1.216062506660819,554605130
114,in_fourier_swim,256,2048,2,8,1e-06,0.030840759738628327,0.035395339544698624,0.034895142364079444,3.3950534034520388,95618103
115,in_fourier_swim,256,4096,2,8,1e-06,0.011500973994902002,0.013592257343141024,0.013328079390241053,17.083383532240987,242316346
116,in_fourier_swim,256,512,4,32,1e-08,0.09231355439654955,0.09910189367230406,0.0969146306676719,1.251857246272266,622258489
117,in_fourier_swim,256,2048,1,16,1e-10,0.001165798952766269,0.0017827610447100355,0.0017976902604010974,2.4736796636134386,734235077
118,in_fourier_swim,256,4096,2,16,1e-10,0.0015244791643100855,0.003200524757997106,0.0031870942437892237,17.139941851608455,970786212
119,in_fourier_swim,256,2048,2,16,1e-10,0.007885584440243948,0.010373917229958493,0.010405525821004706,3.8331362111493945,697821217
120,in_fourier_swim,256,512,4,16,1e-08,0.10983452871326327,0.11718467256599616,0.11571118019137246,1.0703154494985938,214967631
121,in_fourier_swim,256,2048,4,32,1e-08,0.06554916848271132,0.07611630795359389,0.07541839105666043,5.563073640689254,438863462
122,in_fourier_swim,256,512,1,32,1e-10,0.005515476256495278,0.006080735118890205,0.0059813362161764685,0.4524320187047124,846471398
123,in_fourier_swim,256,256,1,32,1e-10,0.011313542881778372,0.011810553309784543,0.01166589579392676,0.2989961365237832,25289508
124,in_fourier_swim,256,4096,2,8,1e-10,0.0016081671316207483,0.0031921599348463323,0.003147576278165939,16.649131110869348,708429154
125,in_fourier_swim,256,4096,2,16,1e-08,0.00413639033902422,0.006091152767258452,0.006039146222634384,16.709632765501738,404826373
126,in_fourier_swim,256,256,4,16,1e-10,0.17218382173551092,0.176786410677188,0.1742372916771782,0.5388382850214839,601981028
127,in_fourier_swim,256,1024,1,8,1e-08,0.004636451438984313,0.00520726536180599,0.005130772806631459,0.9793094424530864,757531798
128,in_fourier_swim,256,256,4,16,1e-08,0.1290472463246347,0.1341261705834514,0.1323017801981977,0.5219927364960313,641039113
129,in_fourier_swim,256,256,1,32,1e-08,0.011076540737530475,0.011649731623540433,0.011475894338856337,0.25329397432506084,441572228
130,in_fourier_swim,256,4096,4,16,1e-10,0.029024768108009608,0.04689581450245032,0.04671531035360556,21.463372131809592,279454877
